days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
935	11.6646	11.6646	-5.6674	5.6674	5.9972	5.9972
1033	0.0612	0.0612	0.5031	0.5031	0.5644	0.5644
1263	11.1175	0.7442	-6.1113	0.5588	5.0063	0.1853
1286	13.7795	0.3953	-6.8909	0.0732	6.8886	0.4685
1320	12.1991	12.1991	-5.5918	5.5918	6.6073	6.6073
1350	8.6359	1.6637	-6.9463	0.7786	1.6896	0.8851
1391	3.6163	0.8679	-1.8671	0.7074	1.7492	0.1605
1559	1.1322	1.1322	-0.6594	0.6594	0.4729	0.4729
1630	9.9105	0.6888	-5.1718	0.5224	4.7386	0.1664
1663	10.9852	0.1264	-6.9124	0.8094	4.0728	0.683
1713	7.4288	0.395	-4.2774	0.2522	3.1514	0.1428
1745	5.959	0.3066	-1.9368	0.4823	4.0221	0.1757
1908	0.7393	0.7393	-0.3867	0.3867	0.3527	0.3527
1959	3.3447	1.6752	-2.2843	0.3599	1.0603	1.3153
1994	9.1587	0.1584	-3.2204	0.0854	5.9383	0.2439
2078	8.8871	0.0303	-5.7628	0.3549	3.1243	0.3246
2119	1.9349	0.0132	-0.7374	0.1493	1.1975	0.1361
2168	0.1404	0.2238	0.0337	0.4383	0.1742	0.2145
2300	4.3777	0.1926	-2.9698	0.0969	1.4079	0.2895
2315	5.633	2.3405	-2.2562	2.4884	3.3767	0.1479
2364	6.6242	0.8643	-2.3066	0.7221	4.3176	0.1422
2390	8.9463	3.6262	-4.4415	1.8347	4.5048	1.7915
2453	4.9272	0.3219	-1.6112	0.1994	3.3159	0.1225
2488	2.3832	0.9903	-1.3459	0.3338	1.0373	0.6565
2503	0	0	0.3224	0.3224	0.023	0.023
2665	3.4343	3.4343	-0.3199	0.3199	3.1144	3.1144
2687	1.372	0.4397	0.5729	0.3889	1.9448	0.0508
2716	1.3914	0.6471	1.3581	0.5506	2.7495	0.0965
2770	4.9622	0.1811	-1.7847	0.4715	3.1774	0.2903
2818	2.3824	1.7803	-0.9142	0.3771	1.4682	1.4032
