days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
935	11.6646	0.9	-5.6674	0.7	5.9972	0.5
1033	0.0612	0.9	0.5031	0.7	0.5644	0.5
1263	11.1175	0.9	-6.1113	0.7	5.0063	0.5
1286	13.7795	0.9	-6.8909	0.7	6.8886	0.5
1320	12.1991	0.9	-5.5918	0.7	6.6073	0.5
1350	8.6359	0.9	-6.9463	0.7	1.6896	0.5
1391	3.6163	0.9	-1.8671	0.7	1.7492	0.5
1559	1.1322	0.9	-0.6594	0.7	0.4729	0.5
1630	9.9105	0.9	-5.1718	0.7	4.7386	0.5
1663	10.9852	0.9	-6.9124	0.7	4.0728	0.5
1713	7.4288	0.9	-4.2774	0.7	3.1514	0.5
1745	5.959	0.9	-1.9368	0.7	4.0221	0.5
1908	0.7393	0.9	-0.3867	0.7	0.3527	0.5
1959	3.3447	0.9	-2.2843	0.7	1.0603	0.5
1994	9.1587	0.9	-3.2204	0.7	5.9383	0.5
2025	18.0604	0.9	-8.0783	0.7	9.9821	0.5
2078	8.8871	0.9	-5.7628	0.7	3.1243	0.5
2119	1.9349	0.9	-0.7374	0.7	1.1975	0.5
2168	0.1404	0.9	0.0337	0.7	0.1742	0.5
2300	4.3777	0.9	-2.9698	0.7	1.4079	0.5
2315	5.633	0.9	-2.2562	0.7	3.3767	0.5
2364	6.6242	0.9	-2.3066	0.7	4.3176	0.5
2390	8.9463	0.9	-4.4415	0.7	4.5048	0.5
2453	4.9272	0.9	-1.6112	0.7	3.3159	0.5
2488	2.3832	0.9	-1.3459	0.7	1.0373	0.5
2503	0	0.9	0.3224	0.7	0.023	0.5
2665	3.4343	0.9	-0.3199	0.7	3.1144	0.5
2687	1.372	0.9	0.5729	0.7	1.9448	0.5
2716	1.3914	0.9	1.3581	0.7	2.7495	0.5
2770	4.9622	0.9	-1.7847	0.7	3.1774	0.5
2818	2.3824	0.9	-0.9142	0.7	1.4682	0.5
