days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	10.1194	0.72	-4.7154	0.55	5.404	0.54
991	2.0155	0.72	3.5982	0.55	5.6137	0.54
1033	0.2974	0.72	0.7695	0.55	1.0669	0.54
1263	12.8268	0.72	-7.3692	0.55	5.4576	0.54
1287	9.7421	0.72	-1.5451	0.55	8.197	0.54
1350	4.2298	0.72	-3.5854	0.55	0.6444	0.54
1391	3.39	0.72	-1.8626	0.55	1.5273	0.54
1559	0.3806	0.72	0.0696	0.55	0.4502	0.54
1630	6.9083	0.72	-2.5506	0.55	4.3577	0.54
1663	5.8263	0.72	-0.6711	0.55	5.1551	0.54
1713	11.175	0.72	-6.2097	0.55	4.9653	0.54
1744	6.1529	0.72	-2.9448	0.55	3.2081	0.54
1908	1.28	0.72	-0.3972	0.55	0.8828	0.54
1960	7.318	0.72	-4.7607	0.55	2.5573	0.54
1994	8.7877	0.72	-2.8929	0.55	5.8948	0.54
2027	6.2607	0.72	2.6592	0.55	8.9199	0.54
2078	9.7482	0.72	-4.9449	0.55	4.8032	0.54
2118	4.9447	0.72	-2.0153	0.55	2.9294	0.54
2167	1.603	0.72	-0.9157	0.55	0.6873	0.54
2300	3.2193	0.72	-1.3451	0.55	1.8742	0.54
2315	6.8047	0.72	-1.8764	0.55	4.9283	0.54
2363	9.1835	0.72	-4.9319	0.55	4.2516	0.54
2390	9.0121	0.72	-1.4749	0.55	7.5372	0.54
2453	7.8754	0.72	2.6171	0.55	10.4925	0.54
2489	3.7695	0.72	-2.7836	0.55	0.9859	0.54
2503	1.2694	0.72	-0.2824	0.55	0.9871	0.54
2664	1.2771	0.72	-0.7444	0.55	0.5327	0.54
2687	0.8797	0.72	0.553	0.55	1.4327	0.54
2716	0.8552	0.72	2.9056	0.55	3.7608	0.54
2770	4.5134	0.72	-1.4229	0.55	3.0905	0.54
2818	2.8679	0.72	2.8451	0.55	5.713	0.54
