days	CH4	CH4_sd
936	0.1716	0.0003
991	0.3778	0.0805
1033	0.0197	0.0069
1263	0.0049	0.0048
1287	0.2923	0.0481
1350	0.1795	0.0432
1391	0.0994	0.0144
1433	0.019	0.0009
1559	0.0006	0.0012
1630	0.0474	0.0177
1663	0.2766	0.0676
1713	0.4571	0.0292
1744	0.6306	0.1379
1785	0.0807	0.0125
1908	0.0113	0.0003
1960	0.1831	0.0432
1994	1.1291	0.307
2027	0.5575	0.1576
2078	0.0388	0.0024
2118	0.4533	0.0302
2167	0.0132	0.0025
2300	0.0022	0.0005
2315	0.5791	0.114
2363	0.9229	0.0535
2390	3.2714	0.6926
2453	0.1268	0.0321
2489	0.0991	0.0157
2503	0.0197	0.0019
2664	-0.0019	0.0009
2687	-0.0008	0.0006
2716	0.0071	0.0013
2770	0.6967	0.0847
2818	0.6874	0.0421
