days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	10.1194	10.1194	-4.7154	4.7154	5.404	5.404
991	2.0155	2.0155	3.5982	3.5982	5.6137	5.6137
1033	0.2974	0.2974	0.7695	0.7695	1.0669	1.0669
1263	12.8268	12.8268	-7.3692	7.3692	5.4576	5.4576
1287	9.7421	1.4706	-1.5451	0.4172	8.197	1.8878
1350	4.2298	0.8585	-3.5854	1.0116	0.6444	0.1531
1391	3.39	0.2191	-1.8626	0.1258	1.5273	0.3449
1559	0.3806	0.3806	0.0696	0.0696	0.4502	0.4502
1630	6.9083	0.0044	-2.5506	0.317	4.3577	0.3126
1663	5.8263	2.0885	-0.6711	1.0615	5.1551	1.027
1713	11.175	4.4933	-6.2097	4.8918	4.9653	0.3985
1744	6.1529	0.6257	-2.9448	0.053	3.2081	0.5726
1908	1.28	0.554	-0.3972	0.0953	0.8828	0.4587
1960	7.318	0.5842	-4.7607	0.7653	2.5573	0.1811
1994	8.7877	1.2082	-2.8929	0.1816	5.8948	1.0266
2027	6.2607	6.2607	2.6592	2.6592	8.9199	8.9199
2078	9.7482	0.0942	-4.9449	0.4134	4.8032	0.5076
2118	4.9447	1.3276	-2.0153	2.087	2.9294	3.4146
2167	1.603	0.826	-0.9157	0.0995	0.6873	0.9255
2300	3.2193	0.7543	-1.3451	0.4495	1.8742	0.3048
2315	6.8047	1.3248	-1.8764	0.2203	4.9283	1.5451
2363	9.1835	3.914	-4.9319	2.1688	4.2516	1.7452
2390	9.0121	0.4318	-1.4749	0.4246	7.5372	0.8565
2453	7.8754	2.4891	2.6171	0.7248	10.4925	3.2139
2489	3.7695	3.7695	-2.7836	2.7836	0.9859	0.9859
2503	1.2694	0.2108	-0.2824	0.0831	0.9871	0.1277
2664	1.2771	0.2308	-0.7444	0.1174	0.5327	0.1133
2687	0.8797	0.8797	0.553	0.553	1.4327	1.4327
2716	0.8552	1.6485	2.9056	0.4582	3.7608	1.1902
2770	4.5134	4.5134	-1.4229	1.4229	3.0905	3.0905
2818	2.8679	1.8695	2.8451	0.0227	5.713	1.8922
