           1,           1,        15.5432,        19.7254,        10.6220,        22.3306,         0.5277,         0.6708,         0.3188,         3.5228,         0.4149,        84.4321,      1150.4937,       123.0706,         2.4743,        40.1263,         9.1018,        14.7284,         0.1089,         1.4366,         4.0719,         2.2437,         0.3173,         0.0671,         0.1693,         2.9375,         1.4847,       660.6057,         0.5509,         0.2762,         0.3006,         0.0980,
           7,           2,        15.8253,        19.5176,        11.0587,        21.7642,         0.5197,         0.6955,         0.3268,         3.7862,         0.4248,        74.9217,      1113.5176,       121.9141,         2.4999,        40.0785,         8.9642,        14.4145,         0.0961,         1.3916,         5.0154,         2.0692,         0.3085,         0.0745,         0.1713,         2.9032,         1.5204,       660.5129,         0.5514,         0.2765,         0.2978,         0.0965,
           9,           3,        15.2370,        19.7860,        10.9196,        20.6894,         0.4947,         0.7378,         0.3305,         3.7433,         0.4225,        89.2129,      1031.3406,       122.7436,         2.4682,        40.2164,         8.9192,        14.0065,         0.1063,         1.4047,         5.0036,         2.0793,         0.3106,         0.0657,         0.1728,         2.8792,         1.5404,       661.1167,         0.5489,         0.2771,         0.2974,         0.0956,
          11,           4,        14.8379,        19.9473,        11.3479,        21.9453,         0.4318,         0.7156,         0.3304,         4.0314,         0.4208,        74.2267,       985.2339,       123.0913,         2.4194,        39.5277,         8.7958,        13.3228,         0.0944,         1.4614,         5.6614,         2.2800,         0.3174,         0.0743,         0.1700,         2.9345,         1.5183,       661.3016,         0.5497,         0.2770,         0.2964,         0.0964,
          21,           5,        15.1900,        19.8537,        11.7789,        20.6043,         0.4734,         0.6963,         0.3387,         3.6136,         0.4182,        66.5689,       938.0654,       121.9497,         2.4434,        39.1560,         8.6680,        12.6440,         0.0723,         1.4045,         4.7145,         1.9814,         0.3131,         0.0708,         0.1734,         2.8663,         1.5270,       661.7766,         0.5514,         0.2780,         0.3008,         0.0990,
          25,           6,        14.6771,        20.2587,        11.8686,        19.4163,         0.4501,         0.7169,         0.3348,         3.2657,         0.4179,        76.3601,       903.5724,       121.3826,         2.4503,        39.3894,         8.7040,        13.2992,         0.0610,         1.4946,         3.8800,         1.7615,         0.3041,         0.0691,         0.1697,         2.9293,         1.4981,       661.4141,         0.5558,         0.2775,         0.2968,         0.0982,
          26,           7,        13.8880,        20.4796,        12.2259,        18.1741,         0.4574,         0.6847,         0.3327,         3.2224,         0.4267,        81.8749,       968.2823,       122.7055,         2.5108,        39.6888,         8.8212,        13.7748,         0.0428,         1.5211,         3.0056,         1.8944,         0.3120,         0.0747,         0.1738,         2.8588,         1.4922,       661.4460,         0.5582,         0.2771,         0.2925,         0.0958,
          29,           8,        13.3537,        20.9624,        11.8541,        17.4396,         0.4027,         0.7073,         0.3380,         3.4051,         0.4300,        95.1071,      1063.3705,       121.5468,         2.5739,        40.3773,         8.8357,        13.7220,         0.0606,         1.4302,         2.5410,         1.6016,         0.3100,         0.0654,         0.1716,         2.9190,         1.4750,       661.9297,         0.5610,         0.2783,         0.2973,         0.0932,
          30,           9,        13.7281,        21.2684,        11.6115,        17.2884,         0.4056,         0.6803,         0.3346,         3.3191,         0.4392,        72.2942,      1096.0701,       121.9576,         2.5688,        40.1390,         8.9534,        13.7880,         0.0824,         1.3903,         2.0640,         1.4226,         0.3062,         0.0559,         0.1691,         2.8510,         1.4730,       662.5154,         0.5641,         0.2788,         0.2938,         0.0941,
          31,          10,        13.9671,        21.6164,        11.4036,        15.6740,         0.4109,         0.6778,         0.3354,         3.3450,         0.4302,        52.3452,      1158.3278,       122.4546,         2.5579,        40.9868,         8.9481,        13.8711,         0.1042,         1.5088,         2.1186,         1.3712,         0.2951,         0.0645,         0.1651,         2.7938,         1.5204,       662.7700,         0.5634,         0.2780,         0.2897,         0.0914,
