days	CH4	CH4_sd
934	0.0831	0.0007
992	0.0547	0.0023
1034	0.0283	0.0042
1264	0.032	0.0113
1287	0.0625	0.0038
1350	0.0445	0.0049
1390	0.0311	0.0022
1434	0.0165	0.0055
1560	0.0093	0.0018
1630	0.0208	0.0008
1663	0.0527	0.0073
1744	0.1673	0.0283
1909	0.0064	0.0007
1960	0.0336	0.0024
1994	0.1889	0.1098
2026	0.3299	0.0534
2078	0.5023	0.2364
2118	0.0913	0.0257
2168	0.0226	0.0015
2300	0.0137	0.0017
2316	0.0406	0.0208
2362	0.1	0.0392
2391	0.3815	0.1224
2453	0.1866	0.0413
2502	0.0406	0.0024
2664	0.01	0.0009
2687	0.0139	0.0009
2715	0.021	0.0019
2769	0.1942	0.022
2817	0.2125	0.0197
