days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	9.6908	0.1243	-5.5718	0.4908	4.1191	0.3665
992	2.6511	2.6511	1.0367	1.0367	3.6878	3.6878
1034	0.5358	0.5358	0.1753	0.1753	0.7111	0.7111
1287	15.7927	2.0518	-7.6547	1.0321	8.138	1.0197
1350	3.2613	0.1681	-0.907	0.5678	2.3543	0.736
1390	1.1812	1.1812	0.1568	0.1568	1.338	1.338
1434	0.2819	0.2819	0.7322	0.7322	1.0141	1.0141
1560	0.6378	0.6378	-0.2676	0.2676	0.3702	0.3702
1630	4.2338	1.6026	-2.0645	1.6037	2.1693	0.0011
1663	9.8035	0.0456	-5.4499	0.2352	4.3536	0.1897
1744	6.1036	0.2369	-3.1434	0.1227	2.9602	0.1142
1909	1.0255	1.0255	-0.3248	0.3248	0.7007	0.7007
1960	2.5363	0.2712	-1.7674	0.2287	0.7688	0.0425
1994	11.9176	5.0406	-9.0683	5.3842	2.8492	0.3436
2026	15.9054	3.8156	-7.8824	2.0435	8.023	1.7722
2078	9.3687	0.1583	-5.4632	0.3338	3.9055	0.1755
2118	4.5328	4.5328	-4.2601	4.2601	0.2727	0.2727
2168	0.1033	0.1033	0.0136	0.0136	0.1169	0.1169
2300	1.5837	0.1286	-0.7401	0.1043	0.8435	0.0243
2316	6.7011	1.556	-3.6533	1.8228	3.0478	0.2668
2362	8.0679	1.6701	-5.1196	1.6622	2.9483	0.0079
2391	5.3846	1.5743	-0.5853	2.1632	4.7993	0.5888
2453	5.8133	1.4363	-2.1536	2.2802	3.6597	0.8439
2502	0	0.0517	0.8882	0.6487	0.653	0.7005
2664	1.0228	0.0047	-0.5354	0.1979	0.4874	0.2026
2687	2.4533	0.5098	-0.3531	0.2339	2.1003	0.2758
2715	3.7478	3.7478	0.8961	0.8961	4.6438	4.6438
2769	6.2316	2.8607	-4.7948	2.4219	1.4368	0.4389
2817	5.0139	0.581	-1.5471	1.3239	3.4668	1.9048
