days	c10_mn	c10_sd	c15_mn	c15_sd	c25_mn	c25sd	c50_mn	c50_sd	c75_mn	c75_sd	c100_mn	c100_sd	c150_mn	c150_sd	c180_mn	c180_sd	c200_mn	c200_sd
1566	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1626	0.36	-9999	-9999	-9999	2.88	-9999	12.36	-9999	9.6	-9999	10.56	-9999	11.4	-9999	-9999	-9999	11.52	-9999
1656	5.28	-9999	-9999	-9999	2.4	-9999	6.84	-9999	7.44	-9999	9.6	-9999	8.4	-9999	-9999	-9999	7.56	-9999
1686	-9999	-9999	-9999	-9999	1.8	-9999	9.84	-9999	8.76	-9999	11.4	-9999	5.88	-9999	-9999	-9999	8.64	-9999
1716	2.16	-9999	-9999	-9999	2.88	-9999	8.88	-9999	6.6	-9999	8.04	-9999	9.36	-9999	-9999	-9999	9.36	-9999
1991	4.32	-9999	-9999	-9999	2.64	-9999	7.68	-9999	9.96	-9999	9.96	-9999	11.28	-9999	-9999	-9999	14.28	-9999
2021	6.48	-9999	-9999	-9999	2.88	-9999	8.88	-9999	9	-9999	9.6	-9999	12.36	-9999	-9999	-9999	14.04	-9999
2051	11.52	-9999	-9999	-9999	4.2	-9999	8.64	-9999	9.96	-9999	8.28	-9999	11.52	-9999	-9999	-9999	12.6	-9999
2387	5.04	-9999	-9999	-9999	5.64	-9999	9.84	-9999	7.2	-9999	10.92	-9999	14.28	-9999	-9999	-9999	8.28	-9999
2417	2.28	-9999	-9999	-9999	5.4	-9999	4.2	-9999	8.52	-9999	4.32	-9999	11.04	-9999	-9999	-9999	9.6	-9999
2722	8.88	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2752	3.24	-9999	-9999	-9999	4.2	-9999	5.58	-9999	6.84	-9999	4.44	-9999	10.56	-9999	-9999	-9999	9.9	-9999
2782	-9999	-9999	-9999	-9999	3.72	-9999	8.16	-9999	8.76	-9999	7.86	-9999	11.64	-9999	-9999	-9999	11.76	-9999
