days	CH4	CH4_sd
934	0.0831	0.03
992	0.0547	0.03
1034	0.0283	0.03
1264	0.032	0.03
1287	0.0625	0.03
1350	0.0445	0.03
1390	0.0311	0.03
1434	0.0165	0.03
1560	0.0093	0.03
1630	0.0208	0.03
1663	0.0527	0.03
1744	0.1673	0.03
1909	0.0064	0.03
1960	0.0336	0.03
1994	0.1889	0.03
2026	0.3299	0.03
2078	0.5023	0.03
2118	0.0913	0.03
2168	0.0226	0.03
2300	0.0137	0.03
2316	0.0406	0.03
2362	0.1	0.03
2391	0.3815	0.03
2453	0.1866	0.03
2502	0.0406	0.03
2664	0.01	0.03
2687	0.0139	0.03
2715	0.021	0.03
2769	0.1942	0.03
2817	0.2125	0.03
