days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	8.2202	1.1	-3.8003	0.79	4.4199	0.51
992	1.1794	1.1	4.9682	0.79	6.1476	0.51
1034	0.2075	1.1	1.0047	0.79	1.2121	0.51
1263	3.0996	1.1	-0.3158	0.79	2.7838	0.51
1287	6.5745	1.1	-1.8703	0.79	4.7042	0.51
1350	5.6265	1.1	-1.4874	0.79	4.1391	0.51
1390	5.6367	1.1	-3.8182	0.79	1.8186	0.51
1433	0	1.1	0.7263	0.79	0.2334	0.51
1560	0	1.1	0.602	0.79	0.5794	0.51
1630	8.5307	1.1	-6.205	0.79	2.3257	0.51
1663	6.5001	1.1	-3.1627	0.79	3.3375	0.51
1744	5.72	1.1	-3.0142	0.79	2.7058	0.51
1909	0.5631	1.1	-0.3815	0.79	0.1816	0.51
1960	3.2503	1.1	-1.4328	0.79	1.8175	0.51
1994	4.6303	1.1	-0.5763	0.79	4.054	0.51
2026	11.8888	1.1	-5.1533	0.79	6.7355	0.51
2078	17.0968	1.1	-12.228	0.79	4.8687	0.51
2118	6.3384	1.1	-3.7077	0.79	2.6307	0.51
2168	0.7346	1.1	-0.1283	0.79	0.6062	0.51
2300	3.3077	1.1	-0.376	0.79	2.9317	0.51
2316	10.9428	1.1	-5.5188	0.79	5.424	0.51
2362	13.9642	1.1	-8.0388	0.79	5.9254	0.51
2391	11.3504	1.1	-4.3448	0.79	7.0055	0.51
2453	6.4293	1.1	-3.0172	0.79	3.412	0.51
2502	7.1671	1.1	-2.7932	0.79	4.3738	0.51
2687	4.4892	1.1	-1.8355	0.79	2.6537	0.51
2715	8.7847	1.1	-2.0086	0.79	6.7761	0.51
2769	9.4252	1.1	-3.303	0.79	6.1222	0.51
2817	5.7804	1.1	-1.8376	0.79	3.9427	0.51
