days	Foliage	Foliage_sd	Wood	Wood_sd	Root	Root_sd	Pheno	Pheno_sd
271	155.7	-9999	98.4	-9999	-9999	-9999	-9999	-9999
637	179	-9999	98.4	-9999	-9999	-9999	-9999	-9999
1002	199.9	-9999	99.1	-9999	-9999	-9999	-9999	-9999
1367	229.3	-9999	168.2	-9999	-9999	-9999	-9999	-9999
1732	223.6	-9999	182.8	-9999	-9999	-9999	-9999	-9999
2097	193.7	-9999	82.8	-9999	210	-9999	129	-9999
2462	203.5	-9999	180.9	-9999	-9999	-9999	125	-9999
2827	-9999	-9999	-9999	-9999	-9999	-9999	141	-9999
