year	doy	hour	gpp	gpp_sd	nee	nee_sd	reco	reco_sd	ch4	ch4_sd
2015	252	10	0.2298	0.2298	-0.0915	-0.0915	0.1383	0.1383	0.0247	0.0247
2015	283	14	0.2348	0.2348	-0.0988	-0.0988	0.136	0.136	0.037	0.037
2015	284	11	0.1897	0.1897	-0.0343	-0.0343	0.1554	0.1554	0.0263	0.0263
2015	324	10	0.0564	0.0564	-0.0377	-0.0377	0.0187	0.0187	0.0036	0.0036
2015	324	13	0.0339	0.0339	-0.0316	-0.0316	0.0024	0.0024	0.0021	0.0021
2016	82	10	0.0841	0.0841	0.0152	0.0152	0.0993	0.0993	8e-04	8e-04
2016	82	14	0.0897	0.0897	-0.0372	-0.0372	0.0525	0.0525	0.001	0.001
2016	133	14	0.1781	0.1781	-0.0694	-0.0694	0.1087	0.1087	0.0062	0.0062
2016	134	8	0.1372	0.1372	-0.0759	-0.0759	0.0613	0.0613	0.01	0.01
2016	134	9	0.1667	0.1667	-0.0853	-0.0853	0.0815	0.0815	0.013	0.013
2016	168	13	0.5896	0.5896	-0.2612	-0.2612	0.3284	0.3284	0.0143	0.0143
2016	201	12	0.4216	0.4216	-0.1252	-0.1252	0.2964	0.2964	0.0185	0.0185
2016	252	8	0.2949	0.2949	-0.1413	-0.1413	0.1536	0.1536	0.0099	0.0099
2016	292	12	0.3853	0.3853	-0.2363	-0.2363	0.149	0.149	0.011	0.011
2016	292	13	0.4324	0.4324	-0.236	-0.236	0.1964	0.1964	0.0061	0.0061
2016	341	10	0.0267	0.0267	-0.0058	-0.0058	0.0209	0.0209	5e-04	5e-04
2017	109	11	0.1163	0.1163	-0.066	-0.066	0.0503	0.0503	5e-04	5e-04
2017	124	11	0.2238	0.2238	-0.0702	-0.0702	0.1536	0.1536	0.0151	0.0151
2017	171	14	0.416	0.416	-0.2225	-0.2225	0.1935	0.1935	0.0336	0.0336
2017	200	7	0.4722	0.4722	-0.2012	-0.2012	0.271	0.271	0.0209	0.0209
2017	200	8	0.3491	0.3491	-0.1667	-0.1667	0.1824	0.1824	0.0182	0.0182
2017	262	12	0.4275	0.4275	-0.1837	-0.1837	0.2438	0.2438	5e-04	5e-04
2017	311	13	0.0355	0.0355	-0.0251	-0.0251	0.0103	0.0103	0.0012	0.0012
2018	108	12	-9999	-9999	-9999	-9999	-9999	-9999	1e-04	1e-04
2018	131	10	0.111	0.111	-0.0331	-0.0331	0.0779	0.0779	1e-04	1e-04
2018	131	11	0.1169	0.1169	-0.037	-0.037	0.0799	0.0799	1e-04	1e-04
2018	160	8	0.1257	0.1257	0.0495	0.0495	0.1753	0.1753	0.0012	0.0012
2018	214	9	0.309	0.309	-0.1353	-0.1353	0.1737	0.1737	0.0214	0.0214
2018	262	8	0.2276	0.2276	-0.0982	-0.0982	0.1294	0.1294	0.0033	0.0033
