days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	9.4653	0.9	-4.5495	0.95	4.9158	0.65
992	0	0.9	19.1813	0.95	13.82	0.65
1034	0	0.9	1.5145	0.95	1.3152	0.65
1264	12.6082	0.9	-4.7566	0.95	7.8516	0.65
1287	13.2723	0.9	-5.8794	0.95	7.3929	0.65
1350	4.6179	0.9	-0.233	0.95	4.3849	0.65
1390	1.9559	0.9	1.1051	0.95	3.0611	0.65
1433	0	0.9	0.824	0.95	0.0237	0.65
1560	0.2574	0.9	0.7804	0.95	1.0378	0.65
1630	4.2518	0.9	-2.0065	0.95	2.2453	0.65
1663	12.1097	0.9	-6.2778	0.95	5.832	0.65
1744	8.6738	0.9	-4.7234	0.95	3.9504	0.65
1909	0.8714	0.9	-0.1581	0.95	0.7133	0.65
1960	1.9035	0.9	-0.779	0.95	1.1245	0.65
1994	1.7299	0.9	1.7712	0.95	3.5011	0.65
2026	13.9412	0.9	-5.6303	0.95	8.3109	0.65
2078	12.1236	0.9	-8.4077	0.95	3.716	0.65
2118	5.504	0.9	-3.3592	0.95	2.1447	0.65
2168	0.3548	0.9	0.212	0.95	0.5668	0.65
2300	1.3458	0.9	0.1041	0.95	1.4499	0.65
2316	6.4612	0.9	-2.3211	0.95	4.1401	0.65
2362	6.2976	0.9	-2.3128	0.95	3.9848	0.65
2391	5.1759	0.9	0.826	0.95	6.0019	0.65
2453	8.667	0.9	0.5828	0.95	9.2498	0.65
2502	1.0187	0.9	-0.5557	0.95	0.463	0.65
2664	1.6997	0.9	-0.9066	0.95	0.7931	0.65
2687	5.4349	0.9	-1.8939	0.95	3.541	0.65
2715	0	0.9	2.4067	0.95	1.9808	0.65
2769	4.3008	0.9	-1.4421	0.95	2.8587	0.65
2817	1.8251	0.9	3.9372	0.95	5.7623	0.65
