days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	9.6908	1.11	-5.5718	0.73	4.1191	0.53
992	2.6511	1.11	1.0367	0.73	3.6878	0.53
1034	0.5358	1.11	0.1753	0.73	0.7111	0.53
1287	15.7927	1.11	-7.6547	0.73	8.138	0.53
1350	3.2613	1.11	-0.907	0.73	2.3543	0.53
1390	1.1812	1.11	0.1568	0.73	1.338	0.53
1434	0.2819	1.11	0.7322	0.73	1.0141	0.53
1560	0.6378	1.11	-0.2676	0.73	0.3702	0.53
1630	4.2338	1.11	-2.0645	0.73	2.1693	0.53
1663	9.8035	1.11	-5.4499	0.73	4.3536	0.53
1744	6.1036	1.11	-3.1434	0.73	2.9602	0.53
1909	1.0255	1.11	-0.3248	0.73	0.7007	0.53
1960	2.5363	1.11	-1.7674	0.73	0.7688	0.53
1994	11.9176	1.11	-9.0683	0.73	2.8492	0.53
2026	15.9054	1.11	-7.8824	0.73	8.023	0.53
2078	9.3687	1.11	-5.4632	0.73	3.9055	0.53
2118	4.5328	1.11	-4.2601	0.73	0.2727	0.53
2168	0.1033	1.11	0.0136	0.73	0.1169	0.53
2300	1.5837	1.11	-0.7401	0.73	0.8435	0.53
2316	6.7011	1.11	-3.6533	0.73	3.0478	0.53
2362	8.0679	1.11	-5.1196	0.73	2.9483	0.53
2391	5.3846	1.11	-0.5853	0.73	4.7993	0.53
2453	5.8133	1.11	-2.1536	0.73	3.6597	0.53
2502	0	1.11	0.8882	0.73	0.653	0.53
2664	1.0228	1.11	-0.5354	0.73	0.4874	0.53
2687	2.4533	1.11	-0.3531	0.73	2.1003	0.53
2715	3.7478	1.11	0.8961	0.73	4.6438	0.53
2769	6.2316	1.11	-4.7948	0.73	1.4368	0.53
2817	5.0139	1.11	-1.5471	0.73	3.4668	0.53
