days	CH4	CH4_sd
936	0.107	0.5
991	0.0581	0.5
1033	0.0251	0.5
1263	0.0364	0.5
1286	0.2297	0.5
1350	0.1947	0.5
1390	0.0368	0.5
1433	0.0061	0.5
1559	0.0135	0.5
1630	0.0298	0.5
1663	0.6741	0.5
1744	0.8887	0.5
1785	0.0514	0.5
1908	0.0229	0.5
1960	0.276	0.5
1994	0.3433	0.5
2027	0.4437	0.5
2078	0.2377	0.5
2118	0.2048	0.5
2167	0.0121	0.5
2300	0.0117	0.5
2315	0.363	0.5
2362	0.8057	0.5
2391	0.4683	0.5
2453	0.0108	0.5
2502	0.0289	0.5
2664	0.0024	0.5
2687	0.0011	0.5
2716	0.0266	0.5
2770	0.5217	0.5
2818	0.0744	0.5
