days	CH4	CH4_sd
936	0.107	0.0375
991	0.0581	0.0134
1033	0.0251	0.0044
1263	0.0364	0.0101
1286	0.2297	0.0514
1350	0.1947	0.0474
1390	0.0368	0.0035
1433	0.0061	0.0036
1559	0.0135	0.0005
1630	0.0298	0.0075
1663	0.6741	0.294
1744	0.8887	0.1401
1785	0.0514	0.0223
1908	0.0229	0.001
1960	0.276	0.0569
1994	0.3433	0.0504
2027	0.4437	0.0457
2078	0.2377	0.0453
2118	0.2048	0.037
2167	0.0121	0.0009
2300	0.0117	0.002
2315	0.363	0.047
2362	0.8057	0.4636
2391	0.4683	0.0374
2453	0.0108	0.0017
2502	0.0289	0.0074
2664	0.0024	0.0009
2687	0.0011	0.0007
2716	0.0266	0.0063
2770	0.5217	0.1053
2818	0.0744	0.0146
