days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	12.5514	12.5514	-4.6809	4.6809	7.8705	7.8705
991	9.7952	9.7952	-6.1633	6.1633	3.6319	3.6319
1033	0.8011	0.8011	-0.0291	0.0291	0.772	0.772
1263	13.6806	13.6806	-7.7692	7.7692	5.9114	5.9114
1286	15.3585	1.3265	-6.5452	0.549	8.8133	0.7775
1350	5.8422	2.9814	-2.7182	1.7721	3.1239	1.2093
1390	2.3592	0.2701	-1.326	0.5794	1.0332	0.3093
1433	0	0	0.1953	0.1953	0.0707	0.0707
1559	0.6883	0.6883	0.1233	0.1233	0.8116	0.8116
1630	9.136	0.9413	-5.6113	0.4317	3.5247	0.5096
1663	11.8224	0.6918	-4.7406	0.1397	7.0818	0.8315
1744	5.6359	0.0423	-2.3721	0.2611	3.2638	0.2187
1785	0.8145	0.8145	-0.7579	0.7579	0.0567	0.0567
1908	2.1536	0.354	-0.8937	0.2275	1.2599	0.1265
1960	3.6475	0.5012	-1.9339	0.1592	1.7136	0.342
1994	14.1502	1.0555	-6.269	0.809	7.8812	0.2465
2027	10.1185	0.9621	-3.0057	1.0954	7.1128	2.0575
2078	7.0772	0.3652	-3.3919	1.8562	3.6853	1.491
2118	9.8129	0.7995	-5.6677	0.0055	4.1452	0.805
2167	0.641	0.3422	-0.1394	0.0273	0.5016	0.3149
2300	2.7906	0.9053	-1.5845	0.177	1.2061	0.7283
2315	5.3711	0.2031	-1.6842	0.163	3.687	0.3661
2362	9.9836	2.3616	-5.3398	1.8691	4.6438	0.4925
2391	9.8561	2.0885	-4.4152	0.5855	5.441	1.503
2453	10.2589	0.1958	-4.4082	2.2936	5.8507	2.0978
2502	0.8517	0.3903	-0.6036	0.5726	0.2482	0.1822
2687	2.7345	0.1	-0.841	0.0674	1.8935	0.0326
2716	1.8594	1.8594	1.6751	1.6751	3.5346	3.5346
2770	6.8566	0.9319	-3.2483	0.3281	3.6083	1.26
2818	5.4627	0.7528	-2.358	0.3842	3.1048	1.1369
