days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	8.9069	1.1	-4.2964	0.83	4.6105	0.56
992	0.6196	1.1	5.7845	0.83	6.4041	0.56
1034	0	1.1	1.2611	0.83	1.0218	0.56
1744	3.5963	1.1	-1.0578	0.83	2.5385	0.56
1960	2.4756	1.1	-1.5925	0.83	0.8831	0.56
1994	14.2096	1.1	-9.7943	0.83	4.4153	0.56
2026	12.2367	1.1	-5.8543	0.83	6.3824	0.56
2078	6.3942	1.1	-2.5493	0.83	3.8448	0.56
2118	3.1708	1.1	-0.8993	0.83	2.2715	0.56
2119	2.5328	1.1	-1.2981	0.83	1.2347	0.56
2300	3.449	1.1	-2.2123	0.83	1.2366	0.56
2316	6.006	1.1	-2.7013	0.83	3.3047	0.56
2362	7.4891	1.1	-3.8011	0.83	3.688	0.56
2392	13.5881	1.1	-4.155	0.83	9.4331	0.56
2432	11.2315	1.1	-3.7796	0.83	7.4519	0.56
2454	11.5358	1.1	-7.1854	0.83	4.3504	0.56
2687	1.6594	1.1	-0.1948	0.83	1.4646	0.56
2715	3.7297	1.1	-0.1624	0.83	3.5674	0.56
2754	8.0082	1.1	-3.3274	0.83	4.6808	0.56
2769	11.911	1.1	-7.2484	0.83	4.6626	0.56
2817	5.6191	1.1	-2.6828	0.83	2.9364	0.56
