 day,simuCH4_d,pro_sum_d,oxi_sum_d,fdifu1_d,ebu_sum_sat_d,pla_sum_d,CH4V1,CH4V2,CH4V3,CH4V4,CH4V5,    CH4V6,CH4V7,CH4V8,CH4V9,CH4V10,ebu_sum_unsat_d,zwt
      1,         0.0091,         0.0293,         0.0050,         0.0046,         0.0000,         0.0046,         0.0097,         1.9176,         4.1875,         6.0485,         7.0365,         7.5867,         7.7329,         7.8171,         7.8973,         7.9718,         0.0000,       -48.7420
      2,         0.0199,         0.0289,         0.0052,         0.0048,         0.0105,         0.0046,         0.0102,         1.9165,         4.1853,         6.0583,         7.0476,         7.5926,         7.7362,         7.8191,         7.8985,         7.9728,         0.0000,       -49.0302
      3,         0.0085,         0.0267,         0.0044,         0.0039,         0.0000,         0.0046,         0.0085,         1.9146,         4.1934,         6.0679,         7.0589,         7.5990,         7.7399,         7.8216,         7.9003,         7.9744,         0.0000,       -49.2287
      4,         0.0116,         0.0282,         0.0052,         0.0048,         0.0022,         0.0046,         0.0104,         1.9129,         4.2000,         6.0772,         7.0695,         7.6052,         7.7437,         7.8242,         7.9021,         7.9759,         0.0000,       -49.3957
      5,         0.0126,         0.0289,         0.0053,         0.0048,         0.0033,         0.0046,         0.0102,         1.9131,         4.1995,         6.0860,         7.0792,         7.6110,         7.7472,         7.8265,         7.9037,         7.9772,         0.0000,       -49.5802
      6,         0.0093,         0.0286,         0.0052,         0.0047,         0.0000,         0.0046,         0.0100,         1.9257,         4.1963,         6.0944,         7.0885,         7.6168,         7.7508,         7.8290,         7.9055,         7.9786,         0.0000,       -49.7458
      7,         0.0094,         0.0288,         0.0053,         0.0047,         0.0001,         0.0046,         0.0100,         1.9278,         4.1934,         6.1023,         7.0974,         7.6224,         7.7544,         7.8314,         7.9072,         7.9800,         0.0000,       -49.9128
      8,         0.0262,         0.0285,         0.0052,         0.0047,         0.0169,         0.0046,         0.0099,         1.9259,         4.1919,         6.1098,         7.1060,         7.6281,         7.7580,         7.8340,         7.9091,         7.9815,         0.0000,       -50.1936
      9,         0.0151,         0.0268,         0.0046,         0.0040,         0.0065,         0.0046,         0.0089,         1.9235,         4.1993,         6.1171,         7.1148,         7.6340,         7.7619,         7.8370,         7.9114,         7.9834,         0.0000,       -50.4289
     10,         0.0093,         0.0284,         0.0053,         0.0046,         0.0001,         0.0046,         0.0098,         1.9216,         4.2038,         6.1240,         7.1229,         7.6397,         7.7657,         7.8398,         7.9136,         7.9852,         0.0000,       -50.6337
     11,         0.0097,         0.0287,         0.0053,         0.0046,         0.0005,         0.0046,         0.0098,         1.9203,         4.2018,         6.1306,         7.1302,         7.6450,         7.7692,         7.8423,         7.9155,         7.9868,         0.0000,       -50.8013
     12,         0.0116,         0.0286,         0.0053,         0.0046,         0.0025,         0.0046,         0.0097,         1.9191,         4.2004,         6.1368,         7.1373,         7.6502,         7.7727,         7.8449,         7.9174,         7.9884,         0.0000,       -51.0097
     13,         0.0096,         0.0286,         0.0053,         0.0045,         0.0005,         0.0046,         0.0097,         1.9181,         4.2072,         6.1428,         7.1441,         7.6554,         7.7762,         7.8475,         7.9194,         7.9901,         0.0000,       -51.2512
     14,         0.0127,         0.0284,         0.0055,         0.0048,         0.0034,         0.0046,         0.0104,         1.9171,         4.2183,         6.1486,         7.1508,         7.6606,         7.7797,         7.8502,         7.9215,         7.9919,         0.0000,       -51.4021
     15,         0.0209,         0.0281,         0.0053,         0.0045,         0.0117,         0.0046,         0.0097,         1.9177,         4.2275,         6.1543,         7.1576,         7.6658,         7.7834,         7.8531,         7.9238,         7.9938,         0.0000,       -51.5460
     16,         0.0138,         0.0273,         0.0052,         0.0045,         0.0047,         0.0046,         0.0100,         1.9217,         4.2308,         6.1599,         7.1646,         7.6714,         7.7875,         7.8563,         7.9265,         7.9962,         0.0000,       -51.7723
     17,         0.0096,         0.0282,         0.0056,         0.0048,         0.0002,         0.0046,         0.0103,         1.9206,         4.2280,         6.1651,         7.1708,         7.6765,         7.7912,         7.8592,         7.9289,         7.9983,         0.0000,       -51.9975
     18,         0.0167,         0.0276,         0.0055,         0.0047,         0.0074,         0.0046,         0.0105,         1.9193,         4.2260,         6.1700,         7.1769,         7.6816,         7.7949,         7.8622,         7.9314,         8.0005,         0.0000,       -52.2686
     19,         0.0185,         0.0277,         0.0058,         0.0050,         0.0089,         0.0046,         0.0109,         1.9177,         4.2309,         6.1747,         7.1831,         7.6869,         7.7989,         7.8655,         7.9341,         8.0029,         0.0000,       -52.5256
