 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5511,         0.5511,         0.0000,         0.0773,       155.9978,        99.1660,       179.2209,       273.6286,       282.7592,       462.7240,         0.4738,     84250.6016,     71804.5938
      2,         0.0050,         0.5063,         0.5113,         0.0000,         0.0409,       155.5874,        99.1015,       178.9716,       274.0170,       282.7899,       462.7265,         0.4704,     84250.4141,     71804.5938
      3,         0.0006,         0.4840,         0.4845,         0.0000,         0.0193,       155.1780,        99.0372,       178.7227,       274.4075,       282.8211,       462.7294,         0.4653,     84250.2266,     71804.5938
      4,         0.0083,         0.4783,         0.4865,         0.0000,         0.0197,       154.7697,        98.9729,       178.4741,       274.7950,       282.8521,       462.7324,         0.4668,     84250.0391,     71804.5938
      5,         0.0137,         0.4888,         0.5025,         0.0000,         0.0303,       154.3625,        98.9087,       178.2260,       275.1775,       282.8828,       462.7354,         0.4721,     84249.8516,     71804.5938
      6,         0.0032,         0.4806,         0.4838,         0.0000,         0.0149,       153.9564,        98.8446,       177.9784,       275.5599,       282.9129,       462.7388,         0.4689,     84249.6641,     71804.5938
      7,         0.0014,         0.4849,         0.4863,         0.0000,         0.0144,       153.5513,        98.7805,       177.7313,       275.9385,       282.9429,       462.7423,         0.4719,     84249.4766,     71804.5938
      8,         0.0071,         0.4678,         0.4749,         0.0000,         0.0058,       153.1473,        98.7165,       177.4846,       276.3171,       282.9729,       462.7463,         0.4691,     84249.2891,     71804.5938
      9,         0.0130,         0.4539,         0.4670,         0.0000,         0.0010,       152.7444,        98.6526,       177.2385,       276.6963,       283.0033,       462.7505,         0.4660,     84249.1016,     71804.5938
     10,         0.0142,         0.4549,         0.4690,         0.0000,         0.0000,       152.3425,        98.5887,       176.9929,       277.0712,       283.0335,       462.7549,         0.4690,     84248.9141,     71804.5938
     11,         0.0368,         0.4356,         0.4724,         0.0000,         0.0000,       151.9417,        98.5250,       176.7477,       277.4423,       283.0635,       462.7594,         0.4724,     84248.7266,     71804.5938
     12,         0.0349,         0.4372,         0.4721,         0.0000,         0.0000,       151.5420,        98.4613,       176.5031,       277.8115,       283.0935,       462.7642,         0.4721,     84248.5391,     71804.5938
     13,         0.0246,         0.4477,         0.4724,         0.0000,         0.0000,       151.1432,        98.3978,       176.2589,       278.1787,       283.1236,       462.7693,         0.4724,     84248.3516,     71804.5938
     14,         0.0078,         0.4635,         0.4714,         0.0000,         0.0000,       150.7456,        98.3342,       176.0152,       278.5450,       283.1536,       462.7747,         0.4714,     84248.1641,     71804.5938
     15,         0.0059,         0.4622,         0.4681,         0.0000,         0.0000,       150.3490,        98.2708,       175.7719,       278.9113,       283.1837,       462.7803,         0.4681,     84247.9766,     71804.5938
     16,         0.0038,         0.4624,         0.4662,         0.0000,         0.0000,       149.9534,        98.2074,       175.5292,       279.2773,       283.2140,       462.7860,         0.4662,     84247.7891,     71804.5938
     17,         0.0000,         0.4707,         0.4707,         0.0000,         0.0000,       149.5589,        98.1441,       175.2870,       279.6386,       283.2433,       462.7920,         0.4707,     84247.6016,     71804.5938
     18,         0.0047,         0.4626,         0.4673,         0.0000,         0.0000,       149.1654,        98.0810,       175.0452,       280.0004,       283.2727,       462.7984,         0.4673,     84247.4141,     71804.5938
