 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5511,         0.5511,       155.9978,       462.7240,        99.1660,     84250.6016,       179.2209,       273.6286,    156517.9219,       136.0000,       282.7592,         0.0000,         0.4738,         0.0773
      2,         0.0050,         0.5063,         0.5113,       155.5874,       462.7265,        99.1015,     84250.4141,       178.9716,       274.0170,    156517.7344,       136.0000,       282.7899,         0.0000,         0.4704,         0.0409
      3,         0.0006,         0.4840,         0.4845,       155.1780,       462.7294,        99.0372,     84250.2266,       178.7227,       274.4075,    156517.5469,       136.0000,       282.8211,         0.0000,         0.4653,         0.0193
      4,         0.0083,         0.4783,         0.4865,       154.7697,       462.7324,        98.9729,     84250.0391,       178.4741,       274.7950,    156517.3750,       136.0000,       282.8521,         0.0000,         0.4668,         0.0197
      5,         0.0137,         0.4888,         0.5025,       154.3625,       462.7354,        98.9087,     84249.8516,       178.2260,       275.1775,    156517.1875,       136.0000,       282.8828,         0.0000,         0.4721,         0.0303
      6,         0.0032,         0.4806,         0.4838,       153.9564,       462.7388,        98.8446,     84249.6641,       177.9784,       275.5599,    156517.0000,       136.0000,       282.9129,         0.0000,         0.4689,         0.0149
      7,         0.0014,         0.4849,         0.4863,       153.5513,       462.7423,        98.7805,     84249.4766,       177.7313,       275.9385,    156516.8125,       136.0000,       282.9429,         0.0000,         0.4719,         0.0144
      8,         0.0071,         0.4678,         0.4749,       153.1473,       462.7463,        98.7165,     84249.2891,       177.4846,       276.3171,    156516.6250,       136.0000,       282.9729,         0.0000,         0.4691,         0.0058
      9,         0.0130,         0.4539,         0.4670,       152.7444,       462.7505,        98.6526,     84249.1016,       177.2385,       276.6963,    156516.4375,       136.0000,       283.0033,         0.0000,         0.4660,         0.0010
     10,         0.0142,         0.4549,         0.4690,       152.3425,       462.7549,        98.5887,     84248.9141,       176.9929,       277.0712,    156516.2656,       136.0000,       283.0335,         0.0000,         0.4690,         0.0000
     11,         0.0368,         0.4356,         0.4724,       151.9417,       462.7594,        98.5250,     84248.7266,       176.7477,       277.4423,    156516.0781,       136.0000,       283.0635,         0.0000,         0.4724,         0.0000
     12,         0.0349,         0.4372,         0.4721,       151.5420,       462.7642,        98.4613,     84248.5391,       176.5031,       277.8115,    156515.9062,       136.0000,       283.0935,         0.0000,         0.4721,         0.0000
     13,         0.0246,         0.4477,         0.4724,       151.1432,       462.7693,        98.3978,     84248.3516,       176.2589,       278.1787,    156515.7188,       136.0000,       283.1236,         0.0000,         0.4724,         0.0000
     14,         0.0078,         0.4635,         0.4714,       150.7456,       462.7747,        98.3342,     84248.1641,       176.0152,       278.5450,    156515.5312,       136.0000,       283.1536,         0.0000,         0.4714,         0.0000
     15,         0.0059,         0.4622,         0.4681,       150.3490,       462.7803,        98.2708,     84247.9766,       175.7719,       278.9113,    156515.3438,       136.0000,       283.1837,         0.0000,         0.4681,         0.0000
     16,         0.0038,         0.4624,         0.4662,       149.9534,       462.7860,        98.2074,     84247.7891,       175.5292,       279.2773,    156515.1719,       136.0000,       283.2140,         0.0000,         0.4662,         0.0000
     17,         0.0000,         0.4707,         0.4707,       149.5589,       462.7920,        98.1441,     84247.6016,       175.2870,       279.6386,    156514.9844,       136.0000,       283.2433,         0.0000,         0.4707,         0.0000
     18,         0.0047,         0.4626,         0.4673,       149.1654,       462.7984,        98.0810,     84247.4141,       175.0452,       280.0004,    156514.8125,       136.0000,       283.2727,         0.0000,         0.4673,         0.0000
     19,         0.0081,         0.4584,         0.4665,       148.7729,       462.8049,        98.0179,     84247.2266,       174.8040,       280.3607,    156514.6250,       136.0000,       283.3024,         0.0000,         0.4665,         0.0000
     20,         0.0026,         0.4613,         0.4639,       148.3815,       462.8116,        97.9549,     84247.0391,       174.5632,       280.7210,    156514.4375,       136.0000,       283.3322,         0.0000,         0.4639,         0.0000
     21,         0.0000,         0.4572,         0.4572,       147.9911,       462.8183,        97.8919,     84246.8516,       174.3230,       281.0842,    156514.2656,       136.0000,       283.3625,         0.0000,         0.4572,         0.0000
     22,         0.0036,         0.4578,         0.4614,       147.6017,       462.8251,        97.8291,     84246.6641,       174.0833,       281.4434,    156514.0938,       136.0000,       283.3924,         0.0000,         0.4614,         0.0000
