 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
      1,         0.0091,       -48.7420,         0.0953,         0.0947,         0.0948,        -0.2046,         0.2983,         0.8246
      2,         0.0199,       -49.0302,         0.0953,         0.0948,         0.0948,        -0.2954,         0.2100,         0.7387
      3,         0.0085,       -49.2287,         0.0953,         0.0948,         0.0948,        -0.4475,         0.0842,         0.6229
      4,         0.0116,       -49.3957,         0.0953,         0.0948,         0.0948,        -0.4362,         0.1196,         0.6717
      5,         0.0126,       -49.5802,         0.0952,         0.0948,         0.0948,        -0.3287,         0.2321,         0.7867
      6,         0.0093,       -49.7458,         0.0951,         0.0948,         0.0948,        -0.3779,         0.1712,         0.7163
      7,         0.0094,       -49.9128,         0.0950,         0.0948,         0.0948,        -0.3025,         0.2350,         0.7688
      8,         0.0262,       -50.1936,         0.0949,         0.0948,         0.0948,        -0.3388,         0.1825,         0.7054
      9,         0.0151,       -50.4289,         0.0948,         0.0948,         0.0948,        -0.4312,         0.1042,         0.6321
     10,         0.0093,       -50.6337,         0.0947,         0.0948,         0.0948,        -0.3654,         0.1829,         0.7167
     11,         0.0097,       -50.8013,         0.0946,         0.0948,         0.0948,        -0.2683,         0.2554,         0.7729
     12,         0.0116,       -51.0097,         0.0945,         0.0948,         0.0948,        -0.2504,         0.2529,         0.7587
     13,         0.0096,       -51.2512,         0.0944,         0.0948,         0.0948,        -0.2225,         0.2625,         0.7575
     14,         0.0127,       -51.4021,         0.0943,         0.0948,         0.0948,        -0.2312,         0.2408,         0.7233
     15,         0.0209,       -51.5460,         0.0942,         0.0948,         0.0948,        -0.2713,         0.1812,         0.6513
     16,         0.0138,       -51.7723,         0.0941,         0.0948,         0.0948,        -0.3354,         0.1333,         0.6138
     17,         0.0096,       -51.9975,         0.0940,         0.0948,         0.0948,        -0.2333,         0.2321,         0.7017
     18,         0.0167,       -52.2686,         0.0939,         0.0948,         0.0948,        -0.2867,         0.1637,         0.6250
     19,         0.0185,       -52.5256,         0.0938,         0.0948,         0.0948,        -0.3113,         0.1496,         0.6179
     20,         0.0087,       -52.7770,         0.0937,         0.0947,         0.0948,        -0.3471,         0.1008,         0.5600
     21,         0.0071,       -52.9885,         0.0936,         0.0948,         0.0948,        -0.5250,        -0.0517,         0.4192
     22,         0.0193,       -53.1839,         0.0934,         0.0947,         0.0948,        -0.4496,         0.0229,         0.4921
     23,         0.0078,       -53.4296,         0.0933,         0.0947,         0.0948,        -0.4942,         0.0042,         0.4863
     24,         0.0110,       -53.6713,         0.0932,         0.0948,         0.0948,        -0.2971,         0.1804,         0.6475
     25,         0.0149,       -53.8079,         0.0931,         0.0948,         0.0948,        -0.2662,         0.1917,         0.6467
     26,         0.0177,       -53.9615,         0.0931,         0.0948,         0.0948,        -0.2142,         0.2246,         0.6679
     27,         0.0122,       -54.1262,         0.0930,         0.0948,         0.0948,        -0.1796,         0.2400,         0.6725
     28,         0.0102,       -54.3043,         0.0929,         0.0948,         0.0948,        -0.1763,         0.2304,         0.6500
     29,         0.0154,       -54.4190,         0.0928,         0.0948,         0.0948,        -0.1708,         0.2208,         0.6342
     30,         0.0141,       -54.5658,         0.0927,         0.0948,         0.0948,        -0.2412,         0.1467,         0.5567
     31,         0.0087,       -54.8762,         0.0926,         0.0948,         0.0948,        -0.2779,         0.1154,         0.5217
     32,         0.0245,       -55.2303,         0.0924,         0.0947,         0.0948,        -0.3262,         0.0779,         0.4908
     33,         0.0131,       -55.6597,         0.0922,         0.0947,         0.0948,        -0.4121,         0.0183,         0.4471
     34,         0.0091,       -56.3270,         0.0920,         0.0946,         0.0948,        -0.2992,         0.1483,         0.5842
     35,         0.0111,       -56.6392,         0.0919,         0.0947,         0.0948,        -0.2229,         0.2050,         0.6279
     36,         0.0126,       -56.7997,         0.0917,         0.0947,         0.0948,        -0.1650,         0.2312,         0.6362
     37,         0.0116,       -57.1753,         0.0915,         0.0946,         0.0948,        -0.1617,         0.2146,         0.6021
     38,         0.0095,       -57.6672,         0.0913,         0.0946,         0.0947,        -0.2646,         0.0950,         0.4742
     39,         0.0207,       -58.1263,         0.0911,         0.0946,         0.0947,        -0.3742,         0.0217,         0.4213
     40,         0.0083,       -58.6864,         0.0908,         0.0946,         0.0947,        -0.4188,         0.0021,         0.4150
     41,         0.0184,       -59.1008,         0.0906,         0.0946,         0.0947,        -0.5367,        -0.0846,         0.3475
     42,         0.0086,       -59.4045,         0.0904,         0.0946,         0.0947,        -0.4946,        -0.0167,         0.4271
     43,         0.0126,       -59.7161,         0.0903,         0.0946,         0.0947,        -0.3942,         0.0546,         0.4787
     44,         0.0169,       -50.5774,         0.0953,         0.0946,         0.0947,        -0.2458,         0.1837,         0.5983
     45,         0.0197,        -1.4190,         0.0953,         0.0946,         0.0947,        -0.1188,         0.2213,         0.5846
     46,         0.0214,         1.9765,         0.0953,         0.0946,         0.0947,        -0.0958,         0.2433,         0.6042
     47,         0.0214,         3.1567,         0.0953,         0.0944,         0.0946,        -0.0904,         0.2437,         0.5987
     48,         0.0215,         0.9383,         0.0953,         0.0945,         0.0947,        -0.0454,         0.2658,         0.6054
     49,         0.0184,       -11.5123,         0.0953,         0.0945,         0.0946,        -0.1413,         0.1575,         0.4892
     50,         0.0128,       -22.0946,         0.0953,         0.0945,         0.0947,        -0.2375,         0.0721,         0.4079
     51,         0.0134,       -27.6415,         0.0953,         0.0945,         0.0946,        -0.1654,         0.1404,         0.4775
     52,         0.0124,       -32.7031,         0.0953,         0.0944,         0.0946,        -0.1858,         0.1450,         0.4954
     53,         0.0156,       -36.4016,         0.0953,         0.0944,         0.0946,        -0.2313,         0.1092,         0.4625
     54,         0.0120,       -38.8049,         0.0953,         0.0945,         0.0947,        -0.1863,         0.1613,         0.5158
     55,         0.0342,       -40.6195,         0.0953,         0.0945,         0.0947,        -0.2008,         0.1271,         0.4721
     56,         0.0093,       -42.4481,         0.0953,         0.0945,         0.0947,        -0.3367,         0.0025,         0.3508
     57,         0.0078,       -43.8274,         0.0953,         0.0945,         0.0947,        -0.4925,        -0.1087,         0.2667
     58,         0.0197,       -45.0393,         0.0953,         0.0945,         0.0947,        -0.3979,         0.0142,         0.4012
     59,         0.0278,       -46.3350,         0.0953,         0.0945,         0.0947,        -0.3642,         0.0346,         0.4154
     60,         0.0094,       -47.6852,         0.0953,         0.0945,         0.0946,        -0.2996,         0.0700,         0.4337
     61,         0.0078,       -48.7498,         0.0953,         0.0945,         0.0947,        -0.4329,        -0.0483,         0.3213
     62,         0.0173,       -49.5362,         0.0953,         0.0945,         0.0947,        -0.3262,         0.0621,         0.4338
     63,         0.0213,       -50.1669,         0.0953,         0.0945,         0.0946,        -0.2604,         0.0971,         0.4508
     64,         0.0225,       -50.9663,         0.0950,         0.0944,         0.0946,        -0.2850,         0.0612,         0.4083
     65,         0.0092,       -51.7688,         0.0947,         0.0945,         0.0946,        -0.2537,         0.0858,         0.4296
     66,         0.0235,       -52.2836,         0.0943,         0.0944,         0.0946,        -0.2308,         0.0983,         0.4342
     67,         0.0167,       -53.1532,         0.0940,         0.0944,         0.0946,        -0.3025,         0.0421,         0.3862
     68,         0.0131,       -54.0294,         0.0936,         0.0944,         0.0946,        -0.1842,         0.1492,         0.4862
     69,         0.0241,       -54.8691,         0.0932,         0.0944,         0.0946,        -0.1388,         0.1629,         0.4792
     70,         0.0106,       -55.9349,         0.0926,         0.0942,         0.0945,        -0.1300,         0.1667,         0.4800
