year	doy	hour	gpp	gpp_sd	nee	nee_sd	reco	reco_sd	ch4	ch4_sd
2015	252	9	0.2596	0.2596	-0.0857	-0.0857	0.1739	0.1739	0.0042	0.0042
2015	283	9	0.1498	0.1498	-0.0441	-0.0441	0.1058	0.1058	0.0054	0.0054
2015	284	10	0.1682	0.1682	-0.0611	-0.0611	0.1071	0.1071	0.0042	0.0042
2015	324	9	0.0471	0.0471	0.0129	0.0129	0.06	0.06	0.0011	0.0011
2016	83	9	-9999	-9999	-9999	-9999	-9999	-9999	2e-04	2e-04
2016	133	12	0.1122	0.1122	-0.0529	-0.0529	0.0593	0.0593	7e-04	7e-04
2016	133	13	0.2342	0.2342	-0.169	-0.169	0.0652	0.0652	8e-04	8e-04
2016	134	12	0.1031	0.1031	-0.0664	-0.0664	0.0368	0.0368	2e-04	2e-04
2016	168	10	0.305	0.305	-0.1163	-0.1163	0.1887	0.1887	3e-04	3e-04
2016	168	14	0.512	0.512	-0.1708	-0.1708	0.3412	0.3412	0.0016	0.0016
2016	199	11	-9999	-9999	-9999	-9999	-9999	-9999	0.0036	0.0036
2016	200	10	0.5099	0.5099	-0.2439	-0.2439	0.2659	0.2659	0.0224	0.0224
2016	252	10	0.2664	0.2664	-0.1062	-0.1062	0.1602	0.1602	0.004	0.004
2016	252	13	0.3325	0.3325	-0.2117	-0.2117	0.1209	0.1209	0.0164	0.0164
2016	292	9	0.1321	0.1321	-0.0375	-0.0375	0.0946	0.0946	0.0145	0.0145
2016	293	9	0.0771	0.0771	-0.0439	-0.0439	0.0332	0.0332	0.0089	0.0089
2016	293	12	0.1055	0.1055	-0.0541	-0.0541	0.0514	0.0514	0.0022	0.0022
2017	109	8	-9999	-9999	-9999	-9999	-9999	-9999	7e-04	7e-04
2017	109	9	-9999	-9999	-9999	-9999	-9999	-9999	6e-04	6e-04
2017	109	14	0.1437	0.1437	-0.0922	-0.0922	0.0515	0.0515	2e-04	2e-04
2017	124	8	0.224	0.224	-0.1517	-0.1517	0.0724	0.0724	0.0033	0.0033
2017	125	9	0.2502	0.2502	-0.1126	-0.1126	0.1377	0.1377	0.0014	0.0014
2017	171	8	0.312	0.312	-0.1584	-0.1584	0.1537	0.1537	0.0054	0.0054
2017	173	9	0.5886	0.5886	-0.3662	-0.3662	0.2224	0.2224	0.0068	0.0068
2017	199	9	0.6298	0.6298	-0.3943	-0.3943	0.2355	0.2355	0.0137	0.0137
2017	201	13	0.5662	0.5662	-0.1731	-0.1731	0.393	0.393	-9999	-9999
2017	241	9	0.3082	0.3082	-0.1224	-0.1224	0.1858	0.1858	0.0084	0.0084
2017	241	11	0.468	0.468	-0.1575	-0.1575	0.3105	0.3105	-9999	-9999
2017	263	11	0.4807	0.4807	-0.2994	-0.2994	0.1813	0.1813	0.013	0.013
2017	264	10	0.2792	0.2792	-0.1818	-0.1818	0.0974	0.0974	0.0074	0.0074
2017	298	9	0.0544	0.0544	-0.017	-0.017	0.0374	0.0374	0.0106	0.0106
2018	131	8	0.1322	0.1322	-0.0081	-0.0081	0.1241	0.1241	4e-04	4e-04
2018	131	13	0.1848	0.1848	-0.1314	-0.1314	0.0534	0.0534	0.0014	0.0014
2018	159	8	0.1554	0.1554	-0.0068	-0.0068	0.1486	0.1486	9e-04	9e-04
2018	160	11	0.1559	0.1559	-0.0439	-0.0439	0.112	0.112	0.0022	0.0022
2018	198	9	0.3337	0.3337	-0.1386	-0.1386	0.195	0.195	0.0132	0.0132
2018	213	10	0.4875	0.4875	-0.2592	-0.2592	0.2283	0.2283	0.0127	0.0127
2018	214	12	0.3072	0.3072	-0.0908	-0.0908	0.2164	0.2164	0.0083	0.0083
2018	261	12	0.2341	0.2341	-0.1118	-0.1118	0.1223	0.1223	-9999	-9999
2018	262	12	0.1385	0.1385	0.0054	0.0054	0.1439	0.1439	0.0187	0.0187
