days	Foliage	Foliage_sd	Wood	Wood_sd	Root	Root_sd	Pheno	Pheno_sd
271	146.9	-9999	67.7	-9999	-9999	-9999	-9999	-9999
637	168.7	-9999	67.7	-9999	-9999	-9999	-9999	-9999
1002	152.1	-9999	82.2	-9999	-9999	-9999	-9999	-9999
1367	189.6	-9999	69.6	-9999	-9999	-9999	-9999	-9999
1732	196	-9999	53	-9999	-9999	-9999	-9999	-9999
2097	159.9	-9999	31.1	-9999	210	-9999	135	-9999
2462	179	-9999	90	-9999	-9999	-9999	133	-9999
2827	-9999	-9999	-9999	-9999	-9999	-9999	143	-9999
