days	CH4	CH4_sd
934	0.0545	0.0206
992	0.5039	0.0353
1034	0.0118	0.0026
1264	-0.0006	0.0013
1287	0.0907	0.0189
1350	0.2122	0.0129
1390	0.2864	0.0345
1433	0.015	0.0013
1560	0.0154	0.0061
1630	0.0095	0.001
1663	0.1233	0.0139
1744	1.2493	0.1293
1909	0.018	0.0012
1960	0.0329	0.0053
1994	0.0878	0.0194
2026	0.1123	0.0443
2078	0.1055	0.0138
2118	0.183	0.0124
2168	0.0264	0.0017
2300	0.0386	0.0039
2316	0.0159	0.0033
2362	0.0988	0.0153
2391	0.2004	0.0382
2453	0.0861	0.0101
2502	0.0778	0.0183
2664	0.0161	0.0023
2687	0.0106	0.0012
2715	0.0102	0.0015
2769	0.3113	0.0416
2817	0.3617	0.1688
