days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	9.4653	9.4653	-4.5495	4.5495	4.9158	4.9158
1034	0	0	1.5145	1.5145	1.3152	1.3152
1264	12.6082	1.2973	-4.7566	1.285	7.8516	0.0123
1287	13.2723	0.9528	-5.8794	0.304	7.3929	0.6487
1350	4.6179	1.4469	-0.233	0.2612	4.3849	1.1857
1390	1.9559	0.9783	1.1051	1.3065	3.0611	0.3282
1433	0	0	0.824	0.824	0.0237	0.0237
1560	0.2574	0.2574	0.7804	0.7804	1.0378	1.0378
1630	4.2518	0.8591	-2.0065	0.576	2.2453	0.283
1663	12.1097	0.2344	-6.2778	0.4593	5.832	0.2248
1744	8.6738	1.1901	-4.7234	0.1377	3.9504	1.0524
1909	0.8714	0.2893	-0.1581	0.0479	0.7133	0.2414
1960	1.9035	0.4365	-0.779	0.126	1.1245	0.3104
1994	1.7299	0.3902	1.7712	0.4736	3.5011	0.0835
2026	13.9412	0.836	-5.6303	1.2108	8.3109	2.0468
2078	12.1236	5.0162	-8.4077	1.1653	3.716	3.8509
2118	5.504	1.1212	-3.3592	1.1965	2.1447	0.0753
2168	0.3548	0.4687	0.212	0.144	0.5668	0.3247
2300	1.3458	0.6152	0.1041	0.0464	1.4499	0.6617
2316	6.4612	0.2466	-2.3211	0.3875	4.1401	0.1408
2362	6.2976	3.5686	-2.3128	3.1509	3.9848	0.4177
2391	5.1759	5.1759	0.826	0.826	6.0019	6.0019
2453	8.667	2.5763	0.5828	2.4893	9.2498	0.087
2502	1.0187	0.764	-0.5557	0.4106	0.463	0.3535
2664	1.6997	0.3807	-0.9066	0.5061	0.7931	0.1254
2687	5.4349	5.4349	-1.8939	1.8939	3.541	3.541
2715	0	0.6065	2.4067	0.3436	1.9808	0.2628
2769	4.3008	2.097	-1.4421	0.1141	2.8587	1.9829
2817	1.8251	1.6545	3.9372	0.0314	5.7623	1.6231
