days	Foliage	Foliage_sd	Wood	Wood_sd	Root	Root_sd	Pheno	Pheno_sd
271	136.8	-9999	207.8	-9999	-9999	-9999	-9999	-9999
637	154.9	-9999	207.8	-9999	-9999	-9999	-9999	-9999
1002	134.8	-9999	122.4	-9999	-9999	-9999	-9999	-9999
1367	154.7	-9999	142.8	-9999	-9999	-9999	-9999	-9999
1732	165.6	-9999	166.8	-9999	-9999	-9999	-9999	-9999
2097	172.9	-9999	107.9	-9999	210	-9999	139	-9999
2462	194.7	-9999	148.3	-9999	-9999	-9999	136	-9999
2827	-9999	-9999	-9999	-9999	-9999	-9999	149	-9999
