days	CH4	CH4_sd
935	0.3547	0.25
992	0.2845	0.25
1033	0.0196	0.25
1263	0.034	0.25
1286	0.3728	0.25
1320	0.1804	0.25
1350	0.1353	0.25
1391	0.0324	0.25
1559	0.0102	0.25
1630	0.0177	0.25
1663	0.0773	0.25
1713	0.325	0.25
1745	0.0955	0.25
1785	0.0323	0.25
1908	0.0066	0.25
1959	0.021	0.25
1994	0.0833	0.25
2025	0.1314	0.25
2078	0.0431	0.25
2119	0.0817	0.25
2168	0.008	0.25
2300	0.0022	0.25
2315	0.0074	0.25
2364	0.0663	0.25
2390	0.1569	0.25
2453	0.0339	0.25
2488	0.0705	0.25
2489	0.0088	0.25
2503	0.009	0.25
2665	0.0033	0.25
2687	0.0021	0.25
2716	0.0112	0.25
2770	0.0311	0.25
2818	0.463	0.25
