days	Foliage	Foliage_sd	Wood	Wood_sd	Root	Root_sd	Pheno	Pheno_sd
271	146.1	-9999	63.9	-9999	-9999	-9999	-9999	-9999
637	167.9	-9999	63.9	-9999	-9999	-9999	-9999	-9999
1002	158.7	-9999	79.6	-9999	-9999	-9999	-9999	-9999
1367	197.1	-9999	42.2	-9999	-9999	-9999	-9999	-9999
1732	188.2	-9999	86.2	-9999	-9999	-9999	-9999	-9999
2097	148.8	-9999	44.2	-9999	210	-9999	136	-9999
2462	203.8	-9999	100.7	-9999	-9999	-9999	139	-9999
2827	-9999	-9999	-9999	-9999	-9999	-9999	150	-9999
