days	CH4	CH4_sd
935	0.3547	0.1176
992	0.2845	0.1302
1033	0.0196	0.0061
1263	0.034	0.0068
1286	0.3728	0.1634
1320	0.1804	0.039
1350	0.1353	0.0426
1391	0.0324	0.0055
1559	0.0102	0.0059
1630	0.0177	0.0023
1663	0.0773	0.0066
1713	0.325	0.0452
1745	0.0955	0.0192
1785	0.0323	0.0111
1908	0.0066	0.0047
1959	0.021	0.0011
1994	0.0833	0.0083
2025	0.1314	0.0179
2078	0.0431	0.0083
2119	0.0817	0.0131
2168	0.008	0.0055
2300	0.0022	0.0007
2315	0.0074	0.0017
2364	0.0663	0.0089
2390	0.1569	0.0183
2453	0.0339	0.0035
2488	0.0705	0.0261
2489	0.0088	0.0061
2503	0.009	0.0006
2665	0.0033	0.0007
2687	0.0021	0.0007
2716	0.0112	0.0031
2770	0.0311	0.0035
2818	0.463	0.0429
