 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5527,         0.5527,         0.0000,         0.0775,       155.8353,        85.0146,       180.7657,       275.1668,       277.5894,       464.4424,         0.4751,     84272.0156,     71802.1719
      2,         0.0050,         0.5080,         0.5130,         0.0000,         0.0410,       155.4252,        84.9508,       180.5143,       275.5551,       277.6200,       464.4445,         0.4719,     84271.8281,     71802.1719
      3,         0.0006,         0.4856,         0.4862,         0.0000,         0.0193,       155.0163,        84.8872,       180.2632,       275.9460,       277.6506,       464.4467,         0.4669,     84271.6406,     71802.1719
      4,         0.0083,         0.4795,         0.4878,         0.0000,         0.0197,       154.6085,        84.8236,       180.0125,       276.3336,       277.6812,       464.4492,         0.4680,     84271.4531,     71802.1719
      5,         0.0137,         0.4900,         0.5037,         0.0000,         0.0303,       154.2017,        84.7601,       179.7624,       276.7161,       277.7118,       464.4517,         0.4733,     84271.2656,     71802.1719
      6,         0.0032,         0.4816,         0.4849,         0.0000,         0.0149,       153.7960,        84.6967,       179.5127,       277.0988,       277.7425,       464.4544,         0.4700,     84271.0781,     71802.1719
      7,         0.0014,         0.4859,         0.4873,         0.0000,         0.0142,       153.3913,        84.6334,       179.2635,       277.4775,       277.7727,       464.4576,         0.4730,     84270.8906,     71802.1719
      8,         0.0071,         0.4688,         0.4759,         0.0000,         0.0057,       152.9878,        84.5702,       179.0149,       277.8563,       277.8027,       464.4611,         0.4702,     84270.7031,     71802.1719
      9,         0.0130,         0.4548,         0.4678,         0.0000,         0.0009,       152.5853,        84.5070,       178.7667,       278.2357,       277.8326,       464.4650,         0.4669,     84270.5156,     71802.1719
     10,         0.0142,         0.4559,         0.4701,         0.0000,         0.0000,       152.1838,        84.4440,       178.5191,       278.6108,       277.8625,       464.4689,         0.4701,     84270.3281,     71802.1719
     11,         0.0368,         0.4367,         0.4735,         0.0000,         0.0000,       151.7834,        84.3810,       178.2719,       278.9819,       277.8922,       464.4730,         0.4735,     84270.1406,     71802.1719
     12,         0.0349,         0.4387,         0.4735,         0.0000,         0.0000,       151.3841,        84.3181,       178.0253,       279.3514,       277.9221,       464.4774,         0.4735,     84269.9531,     71802.1719
     13,         0.0246,         0.4492,         0.4738,         0.0000,         0.0000,       150.9858,        84.2553,       177.7791,       279.7186,       277.9520,       464.4820,         0.4738,     84269.7656,     71802.1719
