days	CH4	CH4_sd
934	0.1414	0.0671
992	0.1393	0.0134
1034	0.0333	0.0127
1263	0.0255	0.0167
1287	0.0857	0.0289
1350	0.262	0.1642
1390	0.2137	0.0254
1433	0.0142	0.0225
1560	0.0022	0.0036
1630	0.0697	0.028
1663	0.4121	0.1701
1744	2.1616	0.1851
1909	0.0638	0.0233
1960	0.6588	0.0969
1994	0.4294	0.0905
2026	2.8154	0.1625
2078	1.9993	0.2016
2118	1.784	0.1193
2168	0.1122	0.0354
2300	0.0629	0.0086
2316	1.6389	0.3531
2362	2.2026	0.7239
2391	1.3318	0.0771
2453	0.31	0.0133
2502	0.0824	0.0022
2664	0.0016	0.0008
2687	0.0045	0.0012
2715	0.4024	0.0436
2769	1.9972	0.0988
2817	1.6315	0.2914
