days	CH4	CH4_sd
934	0.1414	0.22
992	0.1393	0.22
1034	0.0333	0.22
1263	0.0255	0.22
1287	0.0857	0.22
1350	0.262	0.22
1390	0.2137	0.22
1433	0.0142	0.22
1560	0.0022	0.22
1630	0.0697	0.22
1663	0.4121	0.22
1744	2.1616	0.22
1909	0.0638	0.22
1960	0.6588	0.22
1994	0.4294	0.22
2026	2.8154	0.22
2078	1.9993	0.22
2118	1.784	0.22
2168	0.1122	0.22
2300	0.0629	0.22
2316	1.6389	0.22
2362	2.2026	0.22
2391	1.3318	0.22
2453	0.31	0.22
2502	0.0824	0.22
2664	0.0016	0.22
2687	0.0045	0.22
2715	0.4024	0.22
2769	1.9972	0.22
2817	1.6315	0.22
