year	doy	hour	gpp	gpp_sd	nee	nee_sd	reco	reco_sd	ch4	ch4_sd
2015	283	8	0.1605	0.1605	-0.0332	-0.0332	0.1273	0.1273	0.0218	0.0218
2015	283	13	0.2524	0.2524	-0.1088	-0.1088	0.1436	0.1436	0.0557	0.0557
2015	324	11	0.0467	0.0467	-0.003	-0.003	0.0437	0.0437	0.0042	0.0042
2015	324	13	0.1689	0.1689	-0.1097	-0.1097	0.0592	0.0592	0.0166	0.0166
2015	324	14	0.0321	0.0321	0.003	0.003	0.0351	0.0351	0.0022	0.0022
2016	82	13	0.4471	0.4471	-0.1154	-0.1154	0.3317	0.3317	8e-04	8e-04
2016	82	14	-9999	-9999	-9999	-9999	-9999	-9999	8e-04	8e-04
2016	83	9	0.0582	0.0582	-0.0153	-0.0153	0.0429	0.0429	5e-04	5e-04
2016	134	8	0.2347	0.2347	-0.1175	-0.1175	0.1172	0.1172	0.0361	0.0361
2016	134	13	0.1935	0.1935	-0.1136	-0.1136	0.0799	0.0799	0.0102	0.0102
2016	168	8	0.1155	0.1155	0.0916	0.0916	0.2071	0.2071	0.016	0.016
2016	168	9	0.3088	0.3088	-0.0941	-0.0941	0.2147	0.2147	0.0118	0.0118
2016	200	10	0.4908	0.4908	-0.3672	-0.3672	0.1236	0.1236	0.0221	0.0221
2016	200	11	0.458	0.458	-0.2039	-0.2039	0.2541	0.2541	0.0145	0.0145
2016	252	9	0.4831	0.4831	-0.2959	-0.2959	0.1872	0.1872	0.0198	0.0198
2016	292	8	0.1384	0.1384	-0.0489	-0.0489	0.0895	0.0895	0.0205	0.0205
2016	342	11	0.0287	0.0287	-0.0054	-0.0054	0.0233	0.0233	5e-04	5e-04
2017	109	13	0.1342	0.1342	-0.0661	-0.0661	0.0681	0.0681	6e-04	6e-04
2017	125	8	0.3332	0.3332	-0.1705	-0.1705	0.1627	0.1627	0.0384	0.0384
2017	171	9	0.346	0.346	-0.1697	-0.1697	0.1763	0.1763	0.0547	0.0547
2017	200	11	0.5144	0.5144	-0.2171	-0.2171	0.2973	0.2973	0.0565	0.0565
2017	200	12	0.3245	0.3245	-0.055	-0.055	0.2695	0.2695	0.045	0.045
2017	263	11	0.4563	0.4563	-0.1658	-0.1658	0.2905	0.2905	0.0018	0.0018
2017	311	10	0.0125	0.0125	0.0058	0.0058	0.0183	0.0183	9e-04	9e-04
2018	108	8	0.1689	0.1689	-0.016	-0.016	0.1529	0.1529	3e-04	3e-04
2018	131	8	0.0588	0.0588	0.032	0.032	0.0908	0.0908	0.0013	0.0013
2018	159	8	0.1814	0.1814	-0.014	-0.014	0.1674	0.1674	0.0018	0.0018
2018	198	8	0.2436	0.2436	-0.0633	-0.0633	0.1804	0.1804	0.0721	0.0721
2018	213	11	0.3231	0.3231	-0.1744	-0.1744	0.1487	0.1487	0.0723	0.0723
2018	261	11	0.2811	0.2811	-0.1181	-0.1181	0.163	0.163	0.0935	0.0935
2018	261	12	0.285	0.285	-0.1208	-0.1208	0.1642	0.1642	0.049	0.049
