days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	8.6674	0.81	-3.6004	0.55	5.067	0.43
992	3.4875	0.81	3.9943	0.55	7.4818	0.43
1034	0	0.81	2.0638	0.55	1.5012	0.43
1263	13.7857	0.81	-7.195	0.55	6.5907	0.43
1287	13.3704	0.81	-7.383	0.55	5.9874	0.43
1350	6.316	0.81	-3.7632	0.55	2.5528	0.43
1390	3.8418	0.81	-2.1507	0.55	1.691	0.43
1433	0	0.81	0.294	0.55	0.2114	0.43
1560	0	0.81	0.3244	0.55	0.2864	0.43
1630	6.9216	0.81	-4.1161	0.55	2.8055	0.43
1663	10.3335	0.81	-5.0665	0.55	5.267	0.43
1744	3.8522	0.81	-0.796	0.55	3.0561	0.43
1785	0.7705	0.81	0.0725	0.55	0.843	0.43
1909	1.398	0.81	-0.3674	0.55	1.0306	0.43
1960	4.6437	0.81	-2.7266	0.55	1.9171	0.43
1994	5.0919	0.81	-0.03	0.55	5.0619	0.43
2026	11.3855	0.81	-6.8528	0.55	4.5327	0.43
2078	11.5934	0.81	-7.1015	0.55	4.492	0.43
2118	3.3211	0.81	-1.1734	0.55	2.1477	0.43
2168	0.6892	0.81	-0.1307	0.55	0.5584	0.43
2300	3.2204	0.81	-1.5869	0.55	1.6334	0.43
2316	7.9957	0.81	-4.0919	0.55	3.9038	0.43
2362	8.3041	0.81	-4.0719	0.55	4.2322	0.43
2391	7.7879	0.81	-1.3202	0.55	6.4677	0.43
2454	10.9502	0.81	-3.9788	0.55	6.9714	0.43
2502	0	0.81	0.3735	0.55	0.3542	0.43
2664	6.3617	0.81	-1.0335	0.55	5.3282	0.43
2715	4.3539	0.81	-0.3359	0.55	4.018	0.43
2754	5.8474	0.81	-1.5186	0.55	4.3288	0.43
2769	7.7546	0.81	-4.1859	0.55	3.5687	0.43
2817	6.7939	0.81	-2.8669	0.55	3.9269	0.43
