days	CH4	CH4_sd
934	0.0833	0.0066
992	0.2911	0.1024
1034	0.0237	0.0053
1263	0.0293	0.0055
1287	0.0733	0.0129
1350	0.2351	0.0739
1390	0.1986	0.0582
1433	0.0123	0.0051
1560	0.0085	0.001
1630	0.0617	0.0156
1663	0.3543	0.1016
1744	0.5241	0.063
1785	0.052	0.0057
1909	0.0112	0.0005
1960	0.2459	0.0081
1994	0.3343	0.0454
2026	0.4389	0.0718
2078	0.4762	0.1042
2118	0.4912	0.0354
2168	0.0099	0.0051
2300	0.0152	0.0046
2316	0.9208	0.0943
2362	1.3137	0.2208
2391	1.2182	0.1039
2454	0.0422	0.0068
2502	0.0211	0.0085
2664	0.0055	0.0026
2687	0.0282	0.0047
2715	0.0439	0.002
2754	1.7313	0.378
2769	1.7341	0.2889
2817	1.7093	0.2139
