 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1641,         4.1085,        -0.3754,         3.7330,         1.7882,         1.8187,       133.0907,       194.6661,       161.9081,       279.8687,       276.6400,       455.0103,         1.9144,     83245.7656,     72121.0391
   1642,         4.3665,        -0.6193,         3.7471,         1.7792,         1.8348,       133.5242,       194.7788,       162.3948,       279.3205,       276.5934,       455.0899,         1.9123,     83244.5781,     72121.5938
   1643,         4.3116,        -0.3535,         3.9581,         2.0288,         1.9742,       134.0809,       194.9165,       162.9806,       278.7285,       276.5429,       455.1737,         1.9840,     83243.3516,     72122.1562
   1644,         4.6817,        -0.3138,         4.3679,         2.6177,         2.2469,       134.9291,       195.1130,       163.8009,       278.0471,       276.4843,       455.2672,         2.1210,     83242.0469,     72122.6641
   1645,         4.3521,        -0.3041,         4.0480,         1.9508,         1.9328,       135.4420,       195.2426,       164.3536,       277.3805,       276.4266,       455.3552,         2.1151,     83240.7422,     72123.1641
   1646,         3.6849,         0.8782,         4.5631,         2.7094,         2.2860,       136.3315,       195.4481,       165.2088,       276.5914,       276.3582,       455.4561,         2.2771,     83239.3594,     72123.6172
   1647,         2.7923,         1.1881,         3.9804,         1.9989,         1.8896,       136.8630,       195.5825,       165.7784,       275.9007,       276.2971,       455.5363,         2.0908,     83238.0703,     72124.1406
   1648,         4.1645,        -0.6911,         3.4734,         1.4190,         1.6110,       137.1036,       195.6588,       166.1157,       275.3862,       276.2505,       455.5941,         1.8625,     83236.8672,     72124.7031
   1649,         3.3515,         0.1722,         3.5237,         1.6535,         1.7500,       137.4606,       195.7586,       166.5464,       274.9436,       276.2097,       455.6447,         1.7736,     83235.6641,     72125.2656
   1650,         4.6582,        -0.9045,         3.7537,         1.7924,         1.8192,       137.8857,       195.8723,       167.0319,       274.4034,       276.1603,       455.7095,         1.9345,     83234.4375,     72125.8203
   1651,         4.3801,        -0.4112,         3.9689,         1.9174,         1.9090,       138.3719,       195.9985,       167.5668,       273.7907,       276.1045,       455.7816,         2.0599,     83233.1719,     72126.3281
   1652,         4.6729,        -0.2890,         4.3840,         2.4006,         2.1497,       139.0972,       196.1730,       168.2941,       273.0675,       276.0388,       455.8640,         2.2342,     83231.7734,     72126.7812
   1653,         3.3273,         1.3590,         4.6863,         2.7503,         2.2890,       139.9946,       196.3821,       169.1600,       272.2052,       275.9608,       455.9580,         2.3973,     83230.2734,     72127.1562
   1654,         4.8869,        -0.2344,         4.6526,         2.6448,         2.2100,       140.8362,       196.5807,       169.9825,       271.3158,       275.8796,       456.0483,         2.4425,     83228.7188,     72127.5312
   1655,         4.3387,         0.3391,         4.6778,         2.6571,         2.2068,       141.6811,       196.7805,       170.8087,       270.4429,       275.7996,       456.1306,         2.4709,     83227.1484,     72127.9062
   1656,         3.9249,         0.5413,         4.4662,         2.3664,         2.0395,       142.3781,       196.9513,       171.5177,       269.6237,       275.7237,       456.2026,         2.4267,     83225.6250,     72128.3125
   1657,         3.2019,         1.3565,         4.5584,         2.5441,         2.0918,       143.1613,       197.1398,       172.2965,       268.7582,       275.6431,       456.2764,         2.4666,     83224.0547,     72128.6875
   1658,         4.6443,        -0.1075,         4.5369,         2.4707,         2.0276,       143.9052,       197.3207,       173.0450,       267.8331,       275.5567,       456.3531,         2.5093,     83222.4062,     72129.1250
   1659,         4.7017,        -0.2234,         4.4783,         2.4114,         2.0026,       144.6169,       197.4955,       173.7689,       266.9471,       275.4730,       456.4197,         2.4757,     83220.7734,     72129.5469
   1660,         4.7104,        -0.2597,         4.4507,         2.3607,         1.9821,       145.3011,       197.6653,       174.4718,       266.1130,       275.3930,       456.4779,         2.4686,     83219.1562,     72129.9453
   1661,         4.3044,         0.0145,         4.3189,         2.2114,         1.9066,       145.9080,       197.8202,       175.1139,       265.3521,       275.3187,       456.5256,         2.4123,     83217.6406,     72130.3203
   1662,         4.9995,        -1.0350,         3.9645,         1.6789,         1.6754,       146.2475,       197.9217,       175.5425,       264.6903,       275.2526,       456.5627,         2.2891,     83216.2266,     72130.7734
   1663,         4.4549,        -0.2872,         4.1677,         1.8867,         1.8154,       146.6898,       198.0441,       176.0534,       263.9897,       275.1826,       456.6045,         2.3523,     83214.7734,     72131.2188
   1664,         4.4747,         0.1693,         4.6440,         2.4166,         2.0721,       147.3947,       198.2195,       176.7754,       263.1448,       275.0994,       456.6592,         2.5719,     83213.1797,     72131.6719
   1665,         4.8233,        -0.0420,         4.7813,         2.6460,         2.1757,       148.2116,       198.4177,       177.5879,       262.2551,       275.0115,       456.7121,         2.6057,     83211.5078,     72132.1094
