 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
      1,         0.0088,       -48.1352,         0.0953,         0.0948,         0.0948,        -0.2046,         0.2983,         0.8246
      2,         0.0227,       -48.4534,         0.0953,         0.0948,         0.0948,        -0.2954,         0.2100,         0.7387
      3,         0.0082,       -48.6908,         0.0953,         0.0948,         0.0948,        -0.4475,         0.0842,         0.6229
      4,         0.0109,       -48.8924,         0.0953,         0.0948,         0.0948,        -0.4362,         0.1196,         0.6717
      5,         0.0160,       -49.0945,         0.0953,         0.0948,         0.0948,        -0.3287,         0.2321,         0.7867
      6,         0.0090,       -49.2548,         0.0953,         0.0948,         0.0948,        -0.3779,         0.1712,         0.7163
      7,         0.0090,       -49.4029,         0.0952,         0.0948,         0.0948,        -0.3025,         0.2350,         0.7688
      8,         0.0201,       -49.6453,         0.0951,         0.0948,         0.0948,        -0.3388,         0.1825,         0.7054
      9,         0.0222,       -49.8610,         0.0950,         0.0948,         0.0948,        -0.4312,         0.1042,         0.6321
     10,         0.0094,       -50.0454,         0.0949,         0.0948,         0.0948,        -0.3654,         0.1829,         0.7167
     11,         0.0092,       -50.1909,         0.0948,         0.0948,         0.0948,        -0.2683,         0.2554,         0.7729
     12,         0.0125,       -50.3775,         0.0947,         0.0948,         0.0948,        -0.2504,         0.2529,         0.7587
     13,         0.0116,       -50.5953,         0.0947,         0.0948,         0.0948,        -0.2225,         0.2625,         0.7575
     14,         0.0123,       -50.7324,         0.0946,         0.0948,         0.0948,        -0.2312,         0.2408,         0.7233
     15,         0.0217,       -50.8685,         0.0945,         0.0948,         0.0948,        -0.2713,         0.1812,         0.6513
     16,         0.0132,       -51.0801,         0.0944,         0.0948,         0.0948,        -0.3354,         0.1333,         0.6138
     17,         0.0089,       -51.2753,         0.0943,         0.0948,         0.0948,        -0.2333,         0.2321,         0.7017
     18,         0.0171,       -51.5043,         0.0942,         0.0948,         0.0948,        -0.2867,         0.1637,         0.6250
     19,         0.0152,       -51.7416,         0.0941,         0.0948,         0.0948,        -0.3113,         0.1496,         0.6179
     20,         0.0084,       -51.9729,         0.0940,         0.0948,         0.0948,        -0.3471,         0.1008,         0.5600
     21,         0.0068,       -52.1720,         0.0939,         0.0948,         0.0948,        -0.5250,        -0.0517,         0.4192
     22,         0.0144,       -52.3551,         0.0938,         0.0948,         0.0948,        -0.4496,         0.0229,         0.4921
     23,         0.0069,       -52.5847,         0.0937,         0.0948,         0.0948,        -0.4942,         0.0042,         0.4863
     24,         0.0097,       -52.7940,         0.0936,         0.0948,         0.0948,        -0.2971,         0.1804,         0.6475
     25,         0.0133,       -52.9125,         0.0936,         0.0948,         0.0948,        -0.2662,         0.1917,         0.6467
     26,         0.0170,       -53.0442,         0.0935,         0.0948,         0.0948,        -0.2142,         0.2246,         0.6679
     27,         0.0124,       -53.1856,         0.0934,         0.0948,         0.0948,        -0.1796,         0.2400,         0.6725
     28,         0.0096,       -53.3353,         0.0933,         0.0948,         0.0948,        -0.1763,         0.2304,         0.6500
     29,         0.0139,       -53.4423,         0.0933,         0.0948,         0.0948,        -0.1708,         0.2208,         0.6342
     30,         0.0133,       -53.5761,         0.0932,         0.0948,         0.0948,        -0.2412,         0.1467,         0.5567
     31,         0.0085,       -53.8461,         0.0930,         0.0948,         0.0948,        -0.2779,         0.1154,         0.5217
     32,         0.0180,       -54.1735,         0.0929,         0.0948,         0.0948,        -0.3262,         0.0779,         0.4908
     33,         0.0147,       -54.5818,         0.0927,         0.0947,         0.0948,        -0.4121,         0.0183,         0.4471
     34,         0.0089,       -55.1957,         0.0925,         0.0947,         0.0948,        -0.2992,         0.1483,         0.5842
     35,         0.0130,       -55.4847,         0.0924,         0.0947,         0.0948,        -0.2229,         0.2050,         0.6279
     36,         0.0128,       -55.6351,         0.0923,         0.0947,         0.0948,        -0.1650,         0.2312,         0.6362
     37,         0.0110,       -55.9646,         0.0921,         0.0947,         0.0948,        -0.1617,         0.2146,         0.6021
     38,         0.0093,       -56.4092,         0.0919,         0.0947,         0.0948,        -0.2646,         0.0950,         0.4742
     39,         0.0299,       -56.8478,         0.0917,         0.0946,         0.0947,        -0.3742,         0.0217,         0.4213
     40,         0.0072,       -57.3900,         0.0915,         0.0946,         0.0947,        -0.4188,         0.0021,         0.4150
     41,         0.0138,       -57.7964,         0.0913,         0.0946,         0.0947,        -0.5367,        -0.0846,         0.3475
     42,         0.0075,       -58.0824,         0.0911,         0.0946,         0.0947,        -0.4946,        -0.0167,         0.4271
     43,         0.0119,       -58.3485,         0.0910,         0.0946,         0.0948,        -0.3942,         0.0546,         0.4787
     44,         0.0151,       -48.3423,         0.0953,         0.0946,         0.0947,        -0.2458,         0.1837,         0.5983
     45,         0.0201,         1.1137,         0.0953,         0.0946,         0.0947,        -0.1188,         0.2213,         0.5846
     46,         0.0210,         2.6778,         0.0953,         0.0946,         0.0947,        -0.0958,         0.2433,         0.6042
     47,         0.0210,         3.8164,         0.0953,         0.0945,         0.0947,        -0.0904,         0.2437,         0.5987
     48,         0.0211,         1.5897,         0.0953,         0.0945,         0.0947,        -0.0454,         0.2658,         0.6054
     49,         0.0197,        -5.5755,         0.0953,         0.0945,         0.0947,        -0.1413,         0.1575,         0.4892
     50,         0.0132,       -19.1029,         0.0953,         0.0945,         0.0947,        -0.2375,         0.0721,         0.4079
     51,         0.0136,       -25.4915,         0.0953,         0.0945,         0.0947,        -0.1654,         0.1404,         0.4775
     52,         0.0124,       -31.0096,         0.0953,         0.0944,         0.0946,        -0.1858,         0.1450,         0.4954
     53,         0.0142,       -34.9581,         0.0953,         0.0945,         0.0946,        -0.2313,         0.1092,         0.4625
     54,         0.0118,       -37.5587,         0.0953,         0.0945,         0.0947,        -0.1863,         0.1613,         0.5158
