 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5186,         0.5186,       112.8470,       456.7329,       197.4319,     84262.3438,       165.4047,       263.1559,    156525.9375,       136.0000,       282.0165,         0.0000,         0.4661,         0.0525
      2,         0.0038,         0.4864,         0.4902,       112.4612,       456.7342,       197.3656,     84262.1562,       165.1747,       263.5118,    156525.7500,       136.0000,       282.0488,         0.0000,         0.4627,         0.0275
      3,         0.0004,         0.4699,         0.4703,       112.0767,       456.7360,       197.2993,     84261.9688,       164.9449,       263.8698,    156525.5625,       136.0000,       282.0815,         0.0000,         0.4577,         0.0126
      4,         0.0066,         0.4650,         0.4716,       111.6935,       456.7379,       197.2330,     84261.7812,       164.7155,       264.2244,    156525.3750,       136.0000,       282.1140,         0.0000,         0.4590,         0.0126
      5,         0.0106,         0.4727,         0.4833,       111.3116,       456.7397,       197.1667,     84261.5938,       164.4864,       264.5741,    156525.1875,       136.0000,       282.1462,         0.0000,         0.4646,         0.0187
      6,         0.0025,         0.4678,         0.4703,       110.9310,       456.7419,       197.1004,     84261.4062,       164.2576,       264.9232,    156525.0000,       136.0000,       282.1785,         0.0000,         0.4617,         0.0086
      7,         0.0011,         0.4709,         0.4720,       110.5517,       456.7441,       197.0341,     84261.2188,       164.0292,       265.2689,    156524.8125,       136.0000,       282.2108,         0.0000,         0.4647,         0.0073
      8,         0.0054,         0.4591,         0.4645,       110.1738,       456.7468,       196.9680,     84261.0312,       163.8013,       265.6138,    156524.6406,       136.0000,       282.2430,         0.0000,         0.4625,         0.0020
      9,         0.0100,         0.4500,         0.4601,       109.7971,       456.7495,       196.9021,     84260.8438,       163.5738,       265.9592,    156524.4531,       136.0000,       282.2756,         0.0000,         0.4601,         0.0000
     10,         0.0109,         0.4511,         0.4620,       109.4217,       456.7526,       196.8361,     84260.6562,       163.3468,       266.3004,    156524.2656,       136.0000,       282.3080,         0.0000,         0.4620,         0.0000
     11,         0.0285,         0.4368,         0.4653,       109.0476,       456.7558,       196.7702,     84260.4688,       163.1202,       266.6374,    156524.0938,       136.0000,       282.3402,         0.0000,         0.4653,         0.0000
     12,         0.0269,         0.4382,         0.4650,       108.6747,       456.7593,       196.7043,     84260.2812,       162.8940,       266.9720,    156523.9062,       136.0000,       282.3717,         0.0000,         0.4650,         0.0000
     13,         0.0190,         0.4463,         0.4653,       108.3031,       456.7630,       196.6384,     84260.0938,       162.6683,       267.3043,    156523.7188,       136.0000,       282.4032,         0.0000,         0.4653,         0.0000
     14,         0.0059,         0.4582,         0.4641,       107.9329,       456.7669,       196.5725,     84259.9062,       162.4429,       267.6353,    156523.5312,       136.0000,       282.4347,         0.0000,         0.4641,         0.0000
     15,         0.0045,         0.4565,         0.4610,       107.5638,       456.7712,       196.5068,     84259.7188,       162.2180,       267.9662,    156523.3438,       136.0000,       282.4663,         0.0000,         0.4610,         0.0000
     16,         0.0029,         0.4560,         0.4590,       107.1961,       456.7756,       196.4412,     84259.5312,       161.9936,       268.2969,    156523.1562,       136.0000,       282.4982,         0.0000,         0.4590,         0.0000
     17,         0.0000,         0.4633,         0.4633,       106.8296,       456.7802,       196.3757,     84259.3438,       161.7696,       268.6227,    156522.9844,       136.0000,       282.5297,         0.0000,         0.4633,         0.0000
     18,         0.0036,         0.4565,         0.4601,       106.4643,       456.7852,       196.3101,     84259.1562,       161.5461,       268.9484,    156522.8125,       136.0000,       282.5614,         0.0000,         0.4601,         0.0000
     19,         0.0062,         0.4528,         0.4590,       106.1003,       456.7903,       196.2446,     84258.9688,       161.3229,       269.2729,    156522.6250,       136.0000,       282.5933,         0.0000,         0.4590,         0.0000
     20,         0.0020,         0.4551,         0.4571,       105.7375,       456.7956,       196.1790,     84258.7812,       161.1003,       269.5969,    156522.4375,       136.0000,       282.6254,         0.0000,         0.4571,         0.0000
     21,         0.0000,         0.4506,         0.4506,       105.3760,       456.8011,       196.1138,     84258.5938,       160.8781,       269.9236,    156522.2500,       136.0000,       282.6579,         0.0000,         0.4506,         0.0000
     22,         0.0027,         0.4516,         0.4543,       105.0157,       456.8066,       196.0486,     84258.4062,       160.6563,       270.2464,    156522.0625,       136.0000,       282.6900,         0.0000,         0.4543,         0.0000
     23,         0.0000,         0.4530,         0.4530,       104.6567,       456.8121,       195.9834,     84258.2188,       160.4350,       270.5677,    156521.8906,       136.0000,       282.7223,         0.0000,         0.4530,         0.0000
     24,         0.0025,         0.4575,         0.4600,       104.2989,       456.8181,       195.9182,     84258.0312,       160.2141,       270.8821,    156521.7188,       136.0000,       282.7541,         0.0000,         0.4600,         0.0000
     25,         0.0166,         0.4441,         0.4607,       103.9423,       456.8242,       195.8530,     84257.8438,       159.9936,       271.1942,    156521.5312,       136.0000,       282.7858,         0.0000,         0.4607,         0.0000
     26,         0.0214,         0.4406,         0.4621,       103.5869,       456.8308,       195.7879,     84257.6562,       159.7735,       271.5034,    156521.3438,       136.0000,       282.8169,         0.0000,         0.4621,         0.0000
     27,         0.0378,         0.4247,         0.4625,       103.2327,       456.8373,       195.7228,     84257.4688,       159.5539,       271.8106,    156521.1562,       136.0000,       282.8477,         0.0000,         0.4625,         0.0000
