days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
935	10.8881	10.8881	-6.3599	6.3599	4.5282	4.5282
992	1.4358	1.4358	2.9471	2.9471	4.3829	4.3829
1033	0.6005	0.6005	0.3604	0.3604	0.9609	0.9609
1713	6.2297	0.2285	-2.0558	0.2549	4.1739	0.4834
1745	4.0377	1.7209	-1.4662	0.3141	2.5714	1.4068
1785	1.2135	1.2135	0.2263	0.2263	1.4398	1.4398
1959	4.1569	2.0702	-2.6634	1.9695	1.4935	0.1007
1994	12.2884	0.1852	-4.1003	0.919	8.1881	0.7338
2025	11.9615	11.9615	-7.1748	7.1748	4.7867	4.7867
2078	7.9805	0.2317	-5.0797	0.0104	2.9008	0.2213
2119	1.85	0.0671	-1.0525	0.1376	0.7975	0.0705
2315	5.3771	0.6571	-3.6403	0.0038	1.7368	0.6609
2364	14.1265	1.0855	-8.7898	0.8574	5.3366	0.2281
2390	15.1154	1.1222	-9.4644	0.03	5.651	1.1521
2432	7.3969	0.3586	-2.9372	0.7298	4.4597	0.3712
2455	6.7005	0.1527	-4.3624	0.223	2.3381	0.3757
2687	4.0927	1.7423	-3.1539	1.3416	0.9388	0.4007
2716	3.3484	0.3223	-1.0535	0.0624	2.2949	0.2598
2770	7.3723	0.7628	-2.1796	0.1243	5.1927	0.8871
2818	3.3251	0.8471	0.1286	0.4886	3.4536	0.3585
