days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
935	10.8881	1.01	-6.3599	0.8	4.5282	0.5
992	1.4358	1.01	2.9471	0.8	4.3829	0.5
1033	0.6005	1.01	0.3604	0.8	0.9609	0.5
1713	6.2297	1.01	-2.0558	0.8	4.1739	0.5
1745	4.0377	1.01	-1.4662	0.8	2.5714	0.5
1785	1.2135	1.01	0.2263	0.8	1.4398	0.5
1959	4.1569	1.01	-2.6634	0.8	1.4935	0.5
1994	12.2884	1.01	-4.1003	0.8	8.1881	0.5
2025	11.9615	1.01	-7.1748	0.8	4.7867	0.5
2078	7.9805	1.01	-5.0797	0.8	2.9008	0.5
2119	1.85	1.01	-1.0525	0.8	0.7975	0.5
2315	5.3771	1.01	-3.6403	0.8	1.7368	0.5
2364	14.1265	1.01	-8.7898	0.8	5.3366	0.5
2390	15.1154	1.01	-9.4644	0.8	5.651	0.5
2432	7.3969	1.01	-2.9372	0.8	4.4597	0.5
2455	6.7005	1.01	-4.3624	0.8	2.3381	0.5
2687	4.0927	1.01	-3.1539	0.8	0.9388	0.5
2716	3.3484	1.01	-1.0535	0.8	2.2949	0.5
2770	7.3723	1.01	-2.1796	0.8	5.1927	0.5
2818	3.3251	1.01	0.1286	0.8	3.4536	0.5
