days	CH4	CH4_sd
935	0.2193	0.0465
992	0.0528	0.0432
1033	0.0399	0.0003
1713	0.1002	0.0082
1745	0.1009	0.0139
1785	0.0263	0.001
1908	0.0034	0.0019
1959	0.018	0.0006
1994	0.0379	0.0033
2025	0.0854	0.0004
2078	0.3936	0.0461
2119	0.2142	0.042
2300	0.0158	0.0011
2315	0.0792	0.0052
2364	0.164	0.0356
2390	0.3293	0.0341
2432	0.2014	0.024
2455	0.1784	0.0114
2489	0.2546	0.1148
2687	0.0328	0.0019
2716	0.0516	0.0032
2770	0.1971	0.0138
2818	0.4518	0.0293
