 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5525,         0.5525,         0.0000,         0.0771,       155.1657,        70.8411,       180.7839,       274.1290,       270.2746,       463.1461,         0.4754,     84267.7109,     71801.5703
      2,         0.0050,         0.5076,         0.5126,         0.0000,         0.0408,       154.7575,        70.7784,       180.5325,       274.5168,       270.3049,       463.1486,         0.4719,     84267.5234,     71801.5703
      3,         0.0006,         0.4850,         0.4855,         0.0000,         0.0191,       154.3503,        70.7158,       180.2814,       274.9070,       270.3355,       463.1511,         0.4664,     84267.3359,     71801.5703
      4,         0.0083,         0.4792,         0.4874,         0.0000,         0.0195,       153.9442,        70.6532,       180.0307,       275.2939,       270.3661,       463.1538,         0.4679,     84267.1484,     71801.5703
      5,         0.0136,         0.4899,         0.5036,         0.0000,         0.0298,       153.5392,        70.5907,       179.7805,       275.6757,       270.3962,       463.1569,         0.4737,     84266.9609,     71801.5703
      6,         0.0032,         0.4822,         0.4854,         0.0000,         0.0145,       153.1352,        70.5283,       179.5308,       276.0577,       270.4259,       463.1603,         0.4709,     84266.7734,     71801.5703
      7,         0.0014,         0.4856,         0.4870,         0.0000,         0.0137,       152.7323,        70.4660,       179.2816,       276.4359,       270.4552,       463.1637,         0.4732,     84266.5859,     71801.5703
      8,         0.0070,         0.4687,         0.4757,         0.0000,         0.0053,       152.3305,        70.4037,       179.0329,       276.8138,       270.4850,       463.1675,         0.4704,     84266.3984,     71801.5703
      9,         0.0130,         0.4546,         0.4675,         0.0000,         0.0006,       151.9297,        70.3416,       178.7847,       277.1926,       270.5149,       463.1712,         0.4669,     84266.2109,     71801.5703
     10,         0.0141,         0.4562,         0.4704,         0.0000,         0.0000,       151.5300,        70.2796,       178.5370,       277.5669,       270.5447,       463.1756,         0.4704,     84266.0234,     71801.5703
     11,         0.0367,         0.4371,         0.4738,         0.0000,         0.0000,       151.1313,        70.2177,       178.2898,       277.9375,       270.5742,       463.1802,         0.4738,     84265.8359,     71801.5703
     12,         0.0348,         0.4389,         0.4736,         0.0000,         0.0000,       150.7337,        70.1558,       178.0432,       278.3063,       270.6037,       463.1850,         0.4736,     84265.6484,     71801.5703
     13,         0.0245,         0.4493,         0.4739,         0.0000,         0.0000,       150.3371,        70.0941,       177.7969,       278.6731,       270.6331,       463.1900,         0.4739,     84265.4609,     71801.5703
     14,         0.0078,         0.4646,         0.4724,         0.0000,         0.0000,       149.9415,        70.0324,       177.5512,       279.0387,       270.6627,       463.1955,         0.4724,     84265.2734,     71801.5703
     15,         0.0059,         0.4634,         0.4693,         0.0000,         0.0000,       149.5471,        69.9709,       177.3060,       279.4047,       270.6919,       463.2012,         0.4693,     84265.0859,     71801.5703
     16,         0.0038,         0.4632,         0.4670,         0.0000,         0.0000,       149.1536,        69.9094,       177.0612,       279.7703,       270.7211,       463.2067,         0.4670,     84264.8984,     71801.5703
     17,         0.0000,         0.4716,         0.4716,         0.0000,         0.0000,       148.7612,        69.8480,       176.8170,       280.1310,       270.7503,       463.2129,         0.4716,     84264.7109,     71801.5703
     18,         0.0047,         0.4634,         0.4681,         0.0000,         0.0000,       148.3698,        69.7867,       176.5733,       280.4924,       270.7795,       463.2191,         0.4681,     84264.5234,     71801.5703
     19,         0.0081,         0.4589,         0.4670,         0.0000,         0.0000,       147.9794,        69.7256,       176.3301,       280.8524,       270.8087,       463.2253,         0.4670,     84264.3359,     71801.5703
     20,         0.0026,         0.4623,         0.4649,         0.0000,         0.0000,       147.5901,        69.6645,       176.0874,       281.2121,       270.8380,       463.2317,         0.4649,     84264.1484,     71801.5703
