 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5525,         0.5525,       155.1657,       463.1461,        70.8411,     84267.7109,       180.7839,       274.1290,    156532.4375,       136.0000,       270.2746,         0.0000,         0.4754,         0.0771
      2,         0.0050,         0.5076,         0.5126,       154.7575,       463.1486,        70.7784,     84267.5234,       180.5325,       274.5168,    156532.2500,       136.0000,       270.3049,         0.0000,         0.4719,         0.0408
      3,         0.0006,         0.4850,         0.4855,       154.3503,       463.1511,        70.7158,     84267.3359,       180.2814,       274.9070,    156532.0625,       136.0000,       270.3355,         0.0000,         0.4664,         0.0191
      4,         0.0083,         0.4792,         0.4874,       153.9442,       463.1538,        70.6532,     84267.1484,       180.0307,       275.2939,    156531.8750,       136.0000,       270.3661,         0.0000,         0.4679,         0.0195
      5,         0.0136,         0.4899,         0.5036,       153.5392,       463.1569,        70.5907,     84266.9609,       179.7805,       275.6757,    156531.6875,       136.0000,       270.3962,         0.0000,         0.4737,         0.0298
      6,         0.0032,         0.4822,         0.4854,       153.1352,       463.1603,        70.5283,     84266.7734,       179.5308,       276.0577,    156531.5000,       136.0000,       270.4259,         0.0000,         0.4709,         0.0145
      7,         0.0014,         0.4856,         0.4870,       152.7323,       463.1637,        70.4660,     84266.5859,       179.2816,       276.4359,    156531.3125,       136.0000,       270.4552,         0.0000,         0.4732,         0.0137
      8,         0.0070,         0.4687,         0.4757,       152.3305,       463.1675,        70.4037,     84266.3984,       179.0329,       276.8138,    156531.1250,       136.0000,       270.4850,         0.0000,         0.4704,         0.0053
      9,         0.0130,         0.4546,         0.4675,       151.9297,       463.1712,        70.3416,     84266.2109,       178.7847,       277.1926,    156530.9531,       136.0000,       270.5149,         0.0000,         0.4669,         0.0006
     10,         0.0141,         0.4562,         0.4704,       151.5300,       463.1756,        70.2796,     84266.0234,       178.5370,       277.5669,    156530.7656,       136.0000,       270.5447,         0.0000,         0.4704,         0.0000
     11,         0.0367,         0.4371,         0.4738,       151.1313,       463.1802,        70.2177,     84265.8359,       178.2898,       277.9375,    156530.5938,       136.0000,       270.5742,         0.0000,         0.4738,         0.0000
     12,         0.0348,         0.4389,         0.4736,       150.7337,       463.1850,        70.1558,     84265.6484,       178.0432,       278.3063,    156530.4062,       136.0000,       270.6037,         0.0000,         0.4736,         0.0000
     13,         0.0245,         0.4493,         0.4739,       150.3371,       463.1900,        70.0941,     84265.4609,       177.7969,       278.6731,    156530.2188,       136.0000,       270.6331,         0.0000,         0.4739,         0.0000
     14,         0.0078,         0.4646,         0.4724,       149.9415,       463.1955,        70.0324,     84265.2734,       177.5512,       279.0387,    156530.0312,       136.0000,       270.6627,         0.0000,         0.4724,         0.0000
     15,         0.0059,         0.4634,         0.4693,       149.5471,       463.2012,        69.9709,     84265.0859,       177.3060,       279.4047,    156529.8594,       136.0000,       270.6919,         0.0000,         0.4693,         0.0000
     16,         0.0038,         0.4632,         0.4670,       149.1536,       463.2067,        69.9094,     84264.8984,       177.0612,       279.7703,    156529.6719,       136.0000,       270.7211,         0.0000,         0.4670,         0.0000
     17,         0.0000,         0.4716,         0.4716,       148.7612,       463.2129,        69.8480,     84264.7109,       176.8170,       280.1310,    156529.5000,       136.0000,       270.7503,         0.0000,         0.4716,         0.0000
     18,         0.0047,         0.4634,         0.4681,       148.3698,       463.2191,        69.7867,     84264.5234,       176.5733,       280.4924,    156529.3125,       136.0000,       270.7795,         0.0000,         0.4681,         0.0000
     19,         0.0081,         0.4589,         0.4670,       147.9794,       463.2253,        69.7256,     84264.3359,       176.3301,       280.8524,    156529.1250,       136.0000,       270.8087,         0.0000,         0.4670,         0.0000
     20,         0.0026,         0.4623,         0.4649,       147.5901,       463.2317,        69.6645,     84264.1484,       176.0874,       281.2121,    156528.9531,       136.0000,       270.8380,         0.0000,         0.4649,         0.0000
     21,         0.0000,         0.4578,         0.4578,       147.2018,       463.2375,        69.6035,     84263.9609,       175.8452,       281.5742,    156528.7656,       136.0000,       270.8677,         0.0000,         0.4578,         0.0000
     22,         0.0036,         0.4581,         0.4616,       146.8145,       463.2438,        69.5426,     84263.7734,       175.6036,       281.9322,    156528.5938,       136.0000,       270.8973,         0.0000,         0.4616,         0.0000
     23,         0.0000,         0.4603,         0.4603,       146.4282,       463.2504,        69.4818,     84263.5859,       175.3624,       282.2892,    156528.4062,       136.0000,       270.9269,         0.0000,         0.4603,         0.0000
     24,         0.0033,         0.4647,         0.4679,       146.0429,       463.2579,        69.4211,     84263.3984,       175.1217,       282.6391,    156528.2188,       136.0000,       270.9554,         0.0000,         0.4679,         0.0000
     25,         0.0218,         0.4470,         0.4688,       145.6587,       463.2658,        69.3605,     84263.2109,       174.8815,       282.9869,    156528.0469,       136.0000,       270.9840,         0.0000,         0.4688,         0.0000
     26,         0.0282,         0.4419,         0.4701,       145.2755,       463.2739,        69.3000,     84263.0234,       174.6418,       283.3319,    156527.8750,       136.0000,       271.0126,         0.0000,         0.4701,         0.0000
     27,         0.0496,         0.4207,         0.4703,       144.8932,       463.2820,        69.2395,     84262.8359,       174.4025,       283.6748,    156527.6875,       136.0000,       271.0411,         0.0000,         0.4703,         0.0000
     28,         0.0076,         0.4620,         0.4696,       144.5120,       463.2905,        69.1792,     84262.6484,       174.1637,       284.0164,    156527.5000,       136.0000,       271.0697,         0.0000,         0.4696,         0.0000
     29,         0.0150,         0.4541,         0.4691,       144.1318,       463.2991,        69.1189,     84262.4609,       173.9253,       284.3567,    156527.3281,       136.0000,       271.0983,         0.0000,         0.4691,         0.0000
     30,         0.0101,         0.4559,         0.4659,       143.7526,       463.3077,        69.0587,     84262.2734,       173.6874,       284.6978,    156527.1562,       136.0000,       271.1268,         0.0000,         0.4659,         0.0000
     31,         0.0036,         0.4606,         0.4642,       143.3744,       463.3162,        68.9987,     84262.0859,       173.4501,       285.0381,    156526.9688,       136.0000,       271.1554,         0.0000,         0.4642,         0.0000
     32,         0.0080,         0.4540,         0.4620,       142.9971,       463.3245,        68.9387,     84261.8984,       173.2133,       285.3779,    156526.7969,       136.0000,       271.1843,         0.0000,         0.4620,         0.0000
     33,         0.0148,         0.4444,         0.4592,       142.6209,       463.3328,        68.8789,     84261.7109,       172.9771,       285.7180,    156526.6250,       136.0000,       271.2127,         0.0000,         0.4592,         0.0000
     34,         0.0482,         0.4162,         0.4644,       142.2457,       463.3416,        68.8192,     84261.5234,       172.7416,       286.0526,    156526.4375,       136.0000,       271.2406,         0.0000,         0.4644,         0.0000
     35,         0.0812,         0.3854,         0.4666,       141.8714,       463.3510,        68.7596,     84261.3359,       172.5067,       286.3838,    156526.2500,       136.0000,       271.2684,         0.0000,         0.4665,         0.0000
     36,         0.1227,         0.3448,         0.4676,       141.4982,       463.3610,        68.7001,     84261.1484,       172.2723,       286.7125,    156526.0781,       136.0000,       271.2962,         0.0000,         0.4675,         0.0000
     37,         0.0602,         0.4062,         0.4664,       141.1259,       463.3715,        68.6408,     84260.9609,       172.0384,       287.0403,    156525.9062,       136.0000,       271.3241,         0.0000,         0.4664,         0.0000
     38,         0.0063,         0.4540,         0.4603,       140.7545,       463.3806,        68.5816,     84260.7734,       171.8053,       287.3701,    156525.7188,       136.0000,       271.3523,         0.0000,         0.4603,         0.0000
     39,         0.0209,         0.4360,         0.4569,       140.3842,       463.3901,        68.5225,     84260.5859,       171.5728,       287.7008,    156525.5469,       136.0000,       271.3805,         0.0000,         0.4569,         0.0000
     40,         0.0114,         0.4441,         0.4555,       140.0148,       463.3997,        68.4636,     84260.3984,       171.3410,       288.0306,    156525.3750,       136.0000,       271.4082,         0.0000,         0.4555,         0.0000
     41,         0.0174,         0.4337,         0.4511,       139.6465,       463.4096,        68.4048,     84260.2109,       171.1099,       288.3614,    156525.1875,       136.0000,       271.4362,         0.0000,         0.4511,         0.0000
     42,         0.0427,         0.4108,         0.4536,       139.2791,       463.4192,        68.3462,     84260.0234,       170.8793,       288.6886,    156525.0156,       136.0000,       271.4642,         0.0000,         0.4535,         0.0000
     43,         0.1015,         0.3552,         0.4567,       138.9126,       463.4291,        68.2876,     84259.8359,       170.6494,       289.0122,    156524.8438,       136.0000,       271.4919,         0.0000,         0.4567,         0.0000
     44,         0.3944,         0.0740,         0.4684,       138.5471,       463.4395,        68.2286,     84259.6484,       170.4177,       289.3294,    156524.6562,       136.0000,       271.5195,         0.0000,         0.4650,         0.0033
     45,         0.1705,         0.2961,         0.4666,       138.1826,       463.4512,        68.1682,     84259.4609,       170.1807,       289.6426,    156524.4844,       136.0000,       271.5474,         0.0000,         0.4661,         0.0005
     46,         0.3557,         0.1117,         0.4674,       137.8190,       463.4631,        68.1079,     84259.2734,       169.9441,       289.9534,    156524.3125,       136.0000,       271.5752,         0.0000,         0.4656,         0.0018
     47,         0.9694,        -0.4830,         0.4864,       137.4578,       463.4755,        68.0479,     84259.0859,       169.7089,       290.2627,    156524.1250,       136.0000,       271.6032,         0.0027,         0.4656,         0.0208
     48,         0.2634,         0.2190,         0.4824,       137.0961,       463.4879,        67.9876,     84258.8984,       169.4731,       290.5695,    156523.9531,       136.0000,       271.6310,         0.0000,         0.4667,         0.0157
     49,         0.0350,         0.4329,         0.4679,       136.7354,       463.5005,        67.9275,     84258.7109,       169.2375,       290.8784,    156523.7812,       136.0000,       271.6593,         0.0000,         0.4674,         0.0006
     50,         0.0137,         0.4541,         0.4678,       136.3757,       463.5131,        67.8674,     84258.5234,       169.0023,       291.1884,    156523.6094,       136.0000,       271.6877,         0.0000,         0.4678,         0.0000
     51,         0.0450,         0.4259,         0.4710,       136.0169,       463.5260,        67.8074,     84258.3359,       168.7673,       291.4947,    156523.4375,       136.0000,       271.7161,         0.0000,         0.4710,         0.0000
     52,         0.0897,         0.3828,         0.4725,       135.6590,       463.5390,        67.7473,     84258.1484,       168.5327,       291.7991,    156523.2500,       136.0000,       271.7444,         0.0000,         0.4724,         0.0000
     53,         0.0850,         0.3871,         0.4721,       135.3021,       463.5521,        67.6875,     84257.9609,       168.2985,       292.1033,    156523.0938,       136.0000,       271.7728,         0.0000,         0.4721,         0.0000
     54,         0.0281,         0.4465,         0.4746,       134.9461,       463.5653,        67.6276,     84257.7734,       168.0645,       292.4039,    156522.9062,       136.0000,       271.8005,         0.0000,         0.4746,         0.0000
     55,         0.0240,         0.4502,         0.4742,       134.5910,       463.5790,        67.5677,     84257.5859,       167.8309,       292.7043,    156522.7344,       136.0000,       271.8280,         0.0000,         0.4742,         0.0000
     56,         0.0061,         0.4633,         0.4694,       134.2369,       463.5921,        67.5079,     84257.3984,       167.5976,       293.0071,    156522.5625,       136.0000,       271.8558,         0.0000,         0.4694,         0.0000
     57,         0.0096,         0.4552,         0.4649,       133.8838,       463.6048,        67.4482,     84257.2109,       167.3646,       293.3119,    156522.3750,       136.0000,       271.8840,         0.0000,         0.4649,         0.0000
     58,         0.0613,         0.4094,         0.4706,       133.5315,       463.6183,        67.3885,     84257.0234,       167.1319,       293.6114,    156522.2188,       136.0000,       271.9117,         0.0000,         0.4706,         0.0000
     59,         0.1388,         0.3342,         0.4730,       133.1802,       463.6317,        67.3288,     84256.8359,       166.8996,       293.9083,    156522.0312,       136.0000,       271.9395,         0.0000,         0.4728,         0.0002
     60,         0.0678,         0.4054,         0.4732,       132.8298,       463.6459,        67.2693,     84256.6484,       166.6676,       294.2029,    156521.8750,       136.0000,       271.9672,         0.0000,         0.4732,         0.0000
     61,         0.0112,         0.4566,         0.4678,       132.4803,       463.6596,        67.2098,     84256.4609,       166.4359,       294.4995,    156521.6875,       136.0000,       271.9952,         0.0000,         0.4678,         0.0000
     62,         0.0576,         0.4151,         0.4727,       132.1317,       463.6741,        67.1503,     84256.2734,       166.2045,       294.7912,    156521.5156,       136.0000,       272.0230,         0.0000,         0.4726,         0.0000
     63,         0.0779,         0.3964,         0.4743,       131.7841,       463.6889,        67.0909,     84256.0859,       165.9735,       295.0801,    156521.3438,       136.0000,       272.0507,         0.0000,         0.4743,         0.0000
     64,         0.0838,         0.3892,         0.4730,       131.4373,       463.7035,        67.0316,     84255.8984,       165.7431,       295.3689,    156521.1719,       136.0000,       272.0783,         0.0000,         0.4730,         0.0000
