 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
      1,         0.0074,       -48.8768,         0.0953,         0.0947,         0.0948,        -0.2046,         0.2983,         0.8246
      2,         0.0190,       -49.1539,         0.0953,         0.0948,         0.0948,        -0.2954,         0.2100,         0.7387
      3,         0.0069,       -49.3405,         0.0953,         0.0948,         0.0948,        -0.4475,         0.0842,         0.6229
      4,         0.0095,       -49.5013,         0.0952,         0.0948,         0.0948,        -0.4362,         0.1196,         0.6717
      5,         0.0122,       -49.6893,         0.0951,         0.0948,         0.0948,        -0.3287,         0.2321,         0.7867
      6,         0.0078,       -49.8578,         0.0950,         0.0948,         0.0948,        -0.3779,         0.1712,         0.7163
      7,         0.0075,       -50.0280,         0.0949,         0.0948,         0.0948,        -0.3025,         0.2350,         0.7688
      8,         0.0222,       -50.3173,         0.0948,         0.0948,         0.0948,        -0.3388,         0.1825,         0.7054
      9,         0.0176,       -50.5591,         0.0947,         0.0948,         0.0948,        -0.4312,         0.1042,         0.6321
     10,         0.0081,       -50.7690,         0.0946,         0.0948,         0.0948,        -0.3654,         0.1829,         0.7167
     11,         0.0074,       -50.9396,         0.0945,         0.0948,         0.0948,        -0.2683,         0.2554,         0.7729
     12,         0.0111,       -51.1536,         0.0944,         0.0948,         0.0948,        -0.2504,         0.2529,         0.7587
     13,         0.0102,       -51.4017,         0.0943,         0.0948,         0.0948,        -0.2225,         0.2625,         0.7575
     14,         0.0110,       -51.5546,         0.0942,         0.0948,         0.0948,        -0.2312,         0.2408,         0.7233
     15,         0.0186,       -51.7007,         0.0941,         0.0948,         0.0948,        -0.2713,         0.1812,         0.6513
     16,         0.0131,       -51.9331,         0.0940,         0.0948,         0.0948,        -0.3354,         0.1333,         0.6138
     17,         0.0074,       -52.1640,         0.0939,         0.0948,         0.0948,        -0.2333,         0.2321,         0.7017
     18,         0.0180,       -52.4432,         0.0938,         0.0948,         0.0948,        -0.2867,         0.1637,         0.6250
     19,         0.0108,       -52.7078,         0.0937,         0.0948,         0.0948,        -0.3113,         0.1496,         0.6179
     20,         0.0070,       -52.9664,         0.0936,         0.0947,         0.0948,        -0.3471,         0.1008,         0.5600
     21,         0.0060,       -53.1831,         0.0935,         0.0948,         0.0948,        -0.5250,        -0.0517,         0.4192
     22,         0.0207,       -53.3834,         0.0933,         0.0947,         0.0948,        -0.4496,         0.0229,         0.4921
     23,         0.0061,       -53.6362,         0.0932,         0.0947,         0.0948,        -0.4942,         0.0042,         0.4863
     24,         0.0093,       -53.8840,         0.0931,         0.0948,         0.0948,        -0.2971,         0.1804,         0.6475
     25,         0.0130,       -54.0221,         0.0930,         0.0948,         0.0948,        -0.2662,         0.1917,         0.6467
     26,         0.0148,       -54.1781,         0.0929,         0.0948,         0.0948,        -0.2142,         0.2246,         0.6679
     27,         0.0124,       -54.3458,         0.0928,         0.0948,         0.0948,        -0.1796,         0.2400,         0.6725
     28,         0.0086,       -54.5272,         0.0928,         0.0948,         0.0948,        -0.1763,         0.2304,         0.6500
     29,         0.0130,       -54.6426,         0.0927,         0.0948,         0.0948,        -0.1708,         0.2208,         0.6342
     30,         0.0113,       -54.7919,         0.0926,         0.0948,         0.0948,        -0.2412,         0.1467,         0.5567
     31,         0.0073,       -55.1125,         0.0924,         0.0948,         0.0948,        -0.2779,         0.1154,         0.5217
     32,         0.0213,       -55.4791,         0.0923,         0.0947,         0.0948,        -0.3262,         0.0779,         0.4908
     33,         0.0114,       -55.9250,         0.0921,         0.0947,         0.0948,        -0.4121,         0.0183,         0.4471
     34,         0.0072,       -56.6197,         0.0918,         0.0946,         0.0948,        -0.2992,         0.1483,         0.5842
     35,         0.0099,       -56.9408,         0.0917,         0.0947,         0.0948,        -0.2229,         0.2050,         0.6279
     36,         0.0114,       -57.1047,         0.0915,         0.0947,         0.0948,        -0.1650,         0.2312,         0.6362
     37,         0.0100,       -57.4935,         0.0913,         0.0947,         0.0948,        -0.1617,         0.2146,         0.6021
     38,         0.0073,       -58.0036,         0.0911,         0.0946,         0.0947,        -0.2646,         0.0950,         0.4742
     39,         0.0233,       -58.4801,         0.0909,         0.0946,         0.0947,        -0.3742,         0.0217,         0.4213
     40,         0.0064,       -59.0617,         0.0906,         0.0946,         0.0947,        -0.4188,         0.0021,         0.4150
     41,         0.0176,       -59.4910,         0.0904,         0.0946,         0.0947,        -0.5367,        -0.0846,         0.3475
     42,         0.0077,       -59.8042,         0.0902,         0.0946,         0.0947,        -0.4946,        -0.0167,         0.4271
     43,         0.0104,       -60.1252,         0.0900,         0.0946,         0.0947,        -0.3942,         0.0546,         0.4787
