 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2012,         1.0651,       676.3737,       271.4216,       404.6613,       405.8372,         0.0000,       660.5292,        62.7018,       374.1515,       326.3954,       157.3732,        22.8097,        91.2388,       163.4673,        70.7256,       181.1743,       261.9202,       260.3052,       458.4440,     83193.9375,     72137.8672,       157.1800,        21.6973,        87.2234,       240.0517,        20.2204,       322.8416,       350.0808,        17.2121,        19.7600,        34.3571,         8.0655,         5.5644,         1.5868,         7.3853,         6.8104,
   2013,         1.0665,       572.3582,       255.9431,       317.8689,       381.9590,         0.0000,       586.8200,        48.7118,       292.9019,       350.3836,       150.3359,        21.1215,        84.4859,       156.1385,        70.0192,       178.0517,       273.3113,       259.7438,       458.3820,     82967.9375,     72209.3750,       150.1333,        22.3666,        89.3667,       235.3712,        18.9463,       302.8333,       327.4170,        16.1584,        20.8427,        32.8629,         4.9883,         6.2612,         0.0000,         8.0035,         6.5781,
   2011,         1.0628,       626.2582,       258.7488,       366.2897,       424.1364,         0.0029,       647.3796,        54.3625,       363.7613,       345.4726,       151.2377,        21.5022,        86.0090,       157.8445,        69.4830,       176.2355,       266.8077,       258.3539,       459.3396,     82730.6250,     72286.0625,       151.7734,        21.4135,        85.2437,       255.6311,        21.1384,       340.5599,       366.2825,        18.1472,        24.6488,        37.9670,         5.7910,         8.0006,         0.7493,         9.0829,         7.5654,
   2012,         1.0646,       676.1139,       271.3551,       404.2440,       403.7611,         0.0000,       660.5292,        62.6742,       374.1304,       326.4239,       157.3401,        22.8030,        91.2121,       163.3658,        70.6849,       181.0823,       261.6769,       255.8148,       455.9681,     82481.5781,     72361.3750,       157.0826,        21.6851,        87.1804,       239.8314,        19.8727,       321.1057,       347.1057,        17.2655,        19.7472,        34.1831,         7.9658,         5.5537,         1.5936,         7.3728,         6.8208,
   2013,         1.0673,       572.6515,       256.2084,       318.1416,       380.1563,         0.0000,       586.8200,        48.7402,       292.9068,       350.3808,       150.5918,        21.1233,        84.4932,       156.2045,        69.9867,       177.9852,       273.1673,       255.5657,       455.9796,     82255.8594,     72431.8906,       150.1968,        22.3563,        89.3336,       235.2511,        18.6426,       301.2491,       324.6328,        16.2081,        20.7919,        32.7041,         4.9711,         6.2140,         0.0000,         7.9944,         6.5835,
   2011,         1.0630,       626.4069,       258.7444,       366.4151,       422.1458,         0.0029,       647.3796,        54.3774,       363.7745,       345.4612,       151.2190,        21.5052,        86.0208,       157.9115,        69.4626,       176.2052,       266.7967,       254.4760,       457.0168,     82030.4219,     72506.0156,       151.8378,        21.4070,        85.2283,       255.6240,        20.8222,       338.8480,       363.1666,        18.2026,        24.6298,        37.7912,         5.7773,         7.9599,         0.7268,         9.1817,         7.4885,
   2012,         1.0645,       676.0547,       271.2914,       404.4182,       401.9579,         0.0000,       660.5292,        62.6677,       374.1299,       326.4217,       157.2784,        22.8027,        91.2107,       163.3579,        70.6704,       181.0668,       261.6810,       252.2326,       453.7130,     81778.6016,     72578.6875,       157.0749,        21.6805,        87.1728,       239.8339,        19.5952,       319.5252,       344.1541,        17.3180,        19.5568,        34.0276,         7.9828,         5.4749,         1.5833,         7.3088,         6.7731,
   2013,         1.0661,       572.2064,       255.9013,       317.7884,       378.4741,         0.0000,       586.8200,        48.6968,       292.8876,       350.3994,       150.3134,        21.1176,        84.4703,       156.0721,        69.9737,       177.9686,       273.1238,       252.2409,       453.7584,     81559.8906,     72649.4688,       150.0695,        22.3521,        89.3251,       235.2112,        18.4010,       299.7934,       321.8741,        16.2573,        20.6417,        32.5576,         4.9714,         6.2208,         0.0000,         7.8663,         6.5546,
   2014,         1.1006,       643.2847,       273.5305,       368.1183,       366.6636,         0.0000,       662.0886,        51.8041,       264.2316,       424.8870,       158.6079,        22.9845,        91.9380,       160.4107,        70.7766,       181.1031,       278.0531,       252.1374,       456.4754,     81342.4922,     72718.8047,       153.6010,        20.2527,        81.4786,       230.8523,        17.8067,       291.4436,       310.0814,        15.7191,        21.9546,        32.6863,         4.1361,         7.2447,         0.0000,         7.9292,         6.7808,
   2015,         1.2146,       751.6649,       314.8059,       432.5107,       343.8693,         0.0000,       717.0987,        64.8211,       280.1747,       449.2051,       179.9211,        26.9770,       107.9079,       176.1133,        76.4834,       202.1815,       296.7420,       252.0216,       461.4046,     81141.3984,     72785.8281,       163.3332,        21.0785,        87.8772,       228.7953,        16.3333,       267.7044,       280.6386,        14.2764,        19.2745,        29.4632,         4.2136,         6.3361,         0.0000,         6.7934,         6.1449,
   2016,         1.2738,       765.1776,       324.9020,       435.7823,       389.9288,         0.0160,       697.7492,        63.4216,       266.7893,       469.1189,       186.7806,        27.6243,       110.4972,       185.5142,        80.7294,       215.0510,       318.5417,       254.0825,       472.1689,     80932.7891,     72854.2344,       178.1714,        23.3760,        97.9740,       269.2327,        18.1766,       305.7550,       312.2509,        15.9408,        25.4560,        36.2051,         3.3667,         9.4842,         0.0000,         8.4336,         7.5381,
   2017,         1.2550,       734.3198,       307.6448,       429.4116,       397.3820,         0.0000,       640.8001,        61.5251,       287.8737,       389.6009,       179.8433,        25.5602,       102.2409,       189.8658,        82.2664,       216.8259,       329.1919,       256.8879,       482.1931,     80713.9297,     72931.6406,       182.5636,        25.6781,       106.3856,       275.6494,        18.1365,       309.3028,       309.0987,        15.8379,        21.7311,        33.8242,         4.8728,         6.2149,         0.0000,         8.4086,         7.1076,
   2018,         1.2002,       672.8051,       289.3138,       383.0378,       383.0798,         0.0000,       634.2989,        57.6328,       225.3688,       432.3681,       168.5222,        24.1584,        96.6334,       183.5555,        83.7619,       219.5848,       342.2965,       259.7029,       490.7691,     80507.2734,     73004.6016,       176.4924,        24.0773,        99.2631,       271.7677,        17.4787,       299.2845,       292.7366,        15.0539,        22.2724,        33.3382,         3.6559,         7.5438,         0.0000,         7.7995,         6.9292,
