days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
935	13.6771	1.39	-9.2159	0.95	4.4612	0.61
992	1.3754	1.39	3.3316	0.95	4.707	0.61
1033	0.4844	1.39	0.5052	0.95	0.9896	0.61
1263	11.5637	1.39	-8.059	0.95	3.5047	0.61
1286	5.5538	1.39	-1.4603	0.95	4.0935	0.61
1350	6.0753	1.39	-3.3612	0.95	2.714	0.61
1391	3.7001	1.39	-1.6602	0.95	2.0399	0.61
1630	8.6255	1.39	-5.4657	0.95	3.1598	0.61
1663	9.8031	1.39	-5.7239	0.95	4.0793	0.61
1713	5.5157	1.39	-2.1971	0.95	3.3186	0.61
1745	4.5537	1.39	-0.8242	0.95	3.7294	0.61
1785	1.3533	1.39	-0.9056	0.95	0.4477	0.61
1908	2.0188	1.39	0.3654	0.95	2.3842	0.61
1959	4.2744	1.39	-1.6656	0.95	2.6088	0.61
1994	16.6934	1.39	-6.1117	0.95	10.5817	0.61
2025	17.0552	1.39	-8.0133	0.95	9.0419	0.61
2078	9.9491	1.39	-4.597	0.95	5.3521	0.61
2119	1.2725	1.39	0.0461	0.95	1.3186	0.61
2168	0	1.39	0.8702	0.95	0.3451	0.61
2300	10.0799	1.39	-6.3955	0.95	3.6844	0.61
2315	15.8924	1.39	-9.052	0.95	6.8404	0.61
2364	15.9323	1.39	-9.3195	0.95	6.6128	0.61
2390	17.0081	1.39	-10.6016	0.95	6.4065	0.61
2391	12.0956	1.39	-4.9251	0.95	7.1705	0.61
2453	5.3587	1.39	0.3649	0.95	5.7236	0.61
2455	6.8893	1.39	-4.3032	0.95	2.5861	0.61
2489	3.5664	1.39	-2.8605	0.95	0.7059	0.61
2687	2.7427	1.39	-0.202	0.95	2.5408	0.61
2716	5.1117	1.39	-1.5179	0.95	3.5938	0.61
2770	15.8355	1.39	-9.6271	0.95	6.2084	0.61
2818	11.1302	1.39	-8.1076	0.95	3.0226	0.61
