days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
934	8.9069	8.9069	-4.2964	4.2964	4.6105	4.6105
992	0.6196	0.6196	5.7845	5.7845	6.4041	6.4041
1034	0	0	1.2611	1.2611	1.0218	1.0218
1744	3.5963	0.9537	-1.0578	1.0125	2.5385	0.0588
1960	2.4756	0.7822	-1.5925	0.4626	0.8831	0.3196
1994	14.2096	9.7435	-9.7943	9.9049	4.4153	0.1614
2026	12.2367	1.3539	-5.8543	1.1146	6.3824	0.2394
2078	6.3942	5.8779	-2.5493	5.9425	3.8448	0.0646
2118	3.1708	1.6111	-0.8993	1.0659	2.2715	0.5452
2119	2.5328	0.089	-1.2981	0.0391	1.2347	0.1281
2300	3.449	0.2377	-2.2123	0.5549	1.2366	0.3172
2316	6.006	1.2275	-2.7013	0.6882	3.3047	0.5393
2362	7.4891	1.9882	-3.8011	1.3603	3.688	0.6278
2392	13.5881	1.8554	-4.155	0.76	9.4331	1.0954
2432	11.2315	0.0488	-3.7796	1.1485	7.4519	1.1972
2454	11.5358	1.6255	-7.1854	1.2539	4.3504	0.3716
2687	1.6594	2.1451	-0.1948	0.7604	1.4646	1.3847
2715	3.7297	0.917	-0.1624	0.1249	3.5674	0.7921
2754	8.0082	1.6384	-3.3274	0.0818	4.6808	1.7202
2769	11.911	11.911	-7.2484	7.2484	4.6626	4.6626
2817	5.6191	5.6191	-2.6828	2.6828	2.9364	2.9364
