days	Foliage	Foliage_sd	Wood	Wood_sd	Root	Root_sd	Pheno	Pheno_sd
271	121.1	-9999	119.9	-9999	-9999	-9999	-9999	-9999
637	139.5	-9999	119.9	-9999	-9999	-9999	-9999	-9999
1002	202.6	-9999	204.4	-9999	-9999	-9999	-9999	-9999
1367	196.6	-9999	216.4	-9999	-9999	-9999	-9999	-9999
1732	217.6	-9999	448.6	-9999	-9999	-9999	-9999	-9999
2097	219.9	-9999	111.5	-9999	210	-9999	129	-9999
2462	252.3	-9999	182.2	-9999	-9999	-9999	130	-9999
2827	-9999	-9999	-9999	-9999	-9999	-9999	142	-9999
