days	CH4	CH4_sd
936	0.1716	0.12
991	0.3778	0.12
1033	0.0197	0.12
1263	0.0049	0.12
1287	0.2923	0.12
1350	0.1795	0.12
1391	0.0994	0.12
1433	0.019	0.12
1559	0.0006	0.12
1630	0.0474	0.12
1663	0.2766	0.12
1713	0.4571	0.12
1744	0.6306	0.12
1785	0.0807	0.12
1908	0.0113	0.12
1960	0.1831	0.12
1994	1.1291	0.12
2027	0.5575	0.12
2078	0.0388	0.12
2118	0.4533	0.12
2167	0.0132	0.12
2300	0.0022	0.12
2315	0.5791	0.12
2363	0.9229	0.12
2390	3.2714	0.12
2453	0.1268	0.12
2489	0.0991	0.12
2503	0.0197	0.12
2664	-0.0019	0.12
2687	-0.0008	0.12
2716	0.0071	0.12
2770	0.6967	0.12
2818	0.6874	0.12
