year	doy	hour	gpp	gpp_sd	nee	nee_sd	reco	reco_sd	ch4	ch4_sd
2015	252	12	0.4656	0.4656	-0.2587	-0.2587	0.2069	0.2069	0.019	0.019
2015	283	9	0.2383	0.2383	-0.1256	-0.1256	0.1127	0.1127	0.0901	0.0901
2015	283	12	0.2748	0.2748	-0.1243	-0.1243	0.1505	0.1505	0.0345	0.0345
2015	283	13	0.2379	0.2379	-0.1211	-0.1211	0.1168	0.1168	0.018	0.018
2015	324	11	-9999	-9999	-9999	-9999	-9999	-9999	0.0034	0.0034
2016	82	11	0.0697	0.0697	-0.0194	-0.0194	0.0503	0.0503	5e-04	5e-04
2016	82	12	0.037	0.037	-0.0137	-0.0137	0.0233	0.0233	4e-04	4e-04
2016	83	10	0.0235	0.0235	-0.0159	-0.0159	0.0076	0.0076	0.0027	0.0027
2016	134	13	0.1141	0.1141	-0.0515	-0.0515	0.0626	0.0626	0.0332	0.0332
2016	134	14	0.2555	0.2555	-0.1549	-0.1549	0.1007	0.1007	0.0123	0.0123
2016	168	11	0.3662	0.3662	-0.1205	-0.1205	0.2456	0.2456	0.047	0.047
2016	201	14	0.4066	0.4066	-0.1033	-0.1033	0.3033	0.3033	0.0206	0.0206
2016	252	9	0.4062	0.4062	-0.206	-0.206	0.2001	0.2001	0.0016	0.0016
2016	292	13	0.1669	0.1669	-0.1455	-0.1455	0.0215	0.0215	0.021	0.021
2016	292	14	0.2451	0.2451	-0.0225	-0.0225	0.2227	0.2227	0.0167	0.0167
2016	341	11	0.0668	0.0668	-0.0382	-0.0382	0.0286	0.0286	5e-04	5e-04
2017	109	12	0.1341	0.1341	-0.056	-0.056	0.0781	0.0781	1e-04	1e-04
2017	124	12	0.3226	0.3226	-0.0717	-0.0717	0.2509	0.2509	0.0253	0.0253
2017	124	13	0.2445	0.2445	-0.0847	-0.0847	0.1598	0.1598	0.0234	0.0234
2017	172	9	0.3826	0.3826	-0.2055	-0.2055	0.1771	0.1771	0.0385	0.0385
2017	199	8	0.3628	0.3628	-0.074	-0.074	0.2888	0.2888	0.1363	0.1363
2017	262	10	0.3281	0.3281	0.109	0.109	0.4372	0.4372	0.0053	0.0053
2017	298	11	0.2442	0.2442	0.0145	0.0145	0.2588	0.2588	0.0047	0.0047
2017	298	12	0.2168	0.2168	-0.0818	-0.0818	0.135	0.135	-9999	-9999
2017	312	10	0.0529	0.0529	-0.0118	-0.0118	0.0411	0.0411	8e-04	8e-04
2018	108	13	0.0974	0.0974	-0.031	-0.031	0.0664	0.0664	0	0
2018	131	13	0.1114	0.1114	0.0175	0.0175	0.1289	0.1289	0	0
2018	160	9	0.0842	0.0842	0.1076	0.1076	0.1918	0.1918	3e-04	3e-04
2018	214	10	0.2462	0.2462	-0.0111	-0.0111	0.2351	0.2351	0.029	0.029
2018	262	9	0.1195	0.1195	0.1185	0.1185	0.238	0.238	0.0286	0.0286
