days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	8.5013	1.2	-1.6371	0.76	6.8641	0.65
991	9.6694	1.2	-5.4722	0.76	4.1972	0.65
1263	7.4879	1.2	-2.5935	0.76	4.8944	0.65
1286	9.4293	1.2	-8.0557	0.76	1.3737	0.65
1350	5.0717	1.2	-2.399	0.76	2.6727	0.65
1390	0.0353	1.2	1.118	0.76	1.1533	0.65
1559	0.8024	1.2	-0.2063	0.76	0.5961	0.65
1630	7.5657	1.2	-4.8711	0.76	2.6947	0.65
1663	9.2099	1.2	-4.0318	0.76	5.1781	0.65
1744	4.3903	1.2	-1.5004	0.76	2.8899	0.65
1785	0.9018	1.2	-0.0653	0.76	0.8365	0.65
1908	0.8993	1.2	-0.1597	0.76	0.7396	0.65
1960	2.0189	1.2	-0.5446	0.76	1.4743	0.65
1994	18.4212	1.2	-8.366	0.76	10.0552	0.65
2027	14.8647	1.2	-6.2505	0.76	8.6142	0.65
2078	1.8812	1.2	0.9233	0.76	2.8045	0.65
2118	9.3752	1.2	-6.7523	0.76	2.6229	0.65
2167	0	1.2	0.5949	0.76	0.5665	0.65
2300	1.6119	1.2	-0.3865	0.76	1.2253	0.65
2315	7.1956	1.2	-1.1976	0.76	5.998	0.65
2363	6.216	1.2	-1.6224	0.76	4.5936	0.65
2391	14.0714	1.2	-8.7676	0.76	5.3038	0.65
2453	8.9028	1.2	-5.8049	0.76	3.0978	0.65
2502	0.2939	1.2	0.8272	0.76	1.1211	0.65
2664	1.8791	1.2	-1.6364	0.76	0.2426	0.65
2687	4.0215	1.2	-3.9831	0.76	0.0385	0.65
2818	6.0747	1.2	-1.0843	0.76	4.9905	0.65
