days	CH4	CH4_sd
936	0.3506	0.025
991	0.177	0.025
1263	0.0609	0.025
1286	0.1874	0.025
1350	0.1573	0.025
1390	0.0987	0.025
1433	0.0152	0.025
1559	0.0058	0.025
1630	0.0151	0.025
1663	0.1816	0.025
1744	0.3557	0.025
1785	0.0621	0.025
1908	0.0148	0.025
1960	0.0424	0.025
1994	0.056	0.025
2027	0.0759	0.025
2078	0.1663	0.025
2118	0.1404	0.025
2167	0.0411	0.025
2300	0.0171	0.025
2315	0.0267	0.025
2363	0.1411	0.025
2391	0.2647	0.025
2453	0.1007	0.025
2502	0.0695	0.025
2664	0.0025	0.025
2687	0.0085	0.025
2715	0.0183	0.025
2770	0.1598	0.025
2818	0.2143	0.025
