 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2011,         1.1884,       681.8704,       290.0958,       466.2783,       357.3246,         0.0035,       647.3796,        60.0206,       368.7132,       428.5289,       175.0477,        23.0096,        92.0383,       176.5759,       168.9023,       193.8710,       170.6116,       298.7030,       363.7176,     86413.6250,     71150.2734,       169.7836,        23.5567,        96.4626,       172.0609,        24.9068,       275.8114,       390.1556,        18.2163,        14.3000,        33.4336,         3.0406,         7.7698,         0.0000,         0.0000,         6.5302,
   2012,         1.1532,       722.4268,       284.9379,       439.3876,       380.3479,         0.0006,       660.5292,        67.8575,       378.5115,       400.0697,       168.3744,        23.3127,        93.2508,       180.4383,       168.8611,       192.0730,       241.4914,       294.3194,       398.2542,     86110.5078,     71227.4766,       173.4989,        23.3898,        94.8292,       226.5350,        23.2126,       286.3579,       368.0792,        17.2633,        15.0724,        34.0071,         4.0544,         7.2623,         0.3963,         1.6295,         6.1806,
   2013,         1.1450,       604.1984,       270.0567,       336.7468,       378.0174,         0.0000,       586.8200,        51.9252,       295.6043,       400.0665,       161.1485,        21.7816,        87.1263,       168.8453,       167.3071,       185.5134,       276.4053,       292.2206,       430.5280,     85865.2344,     71306.2344,       162.3517,        23.6269,        93.5602,       240.2749,        21.4604,       287.6611,       341.1578,        16.0646,        21.2648,        33.6962,         3.5248,         8.0175,         0.0000,         6.6195,         6.6279,
   2011,         1.1322,       657.8345,       271.3682,       385.0868,       435.7507,         0.0033,       647.3796,        57.5660,       367.8226,       393.1025,       161.0171,        22.0703,        88.2810,       169.3853,       166.0685,       182.1859,       276.8156,       289.2885,       452.9931,     85611.8438,     71381.7031,       162.8707,        23.1071,        90.4300,       270.0798,        24.1015,       343.0987,       386.1789,        18.2586,        27.6249,        40.5234,         3.9480,         9.7530,         0.0000,         9.6831,         8.1887,
   2012,         1.1251,       707.8212,       283.1471,       424.9382,       416.7759,         0.0000,       660.5292,        66.1208,       377.0631,       400.6876,       166.5149,        23.3265,        93.3058,       174.2501,       166.1306,       184.1786,       272.7372,       285.2991,       461.7198,     85344.8125,     71464.0234,       167.5484,        22.9982,        90.8612,       253.8216,        22.4976,       330.5778,       364.7478,        17.3167,        24.5767,        37.1555,         4.6562,         8.5772,         0.6206,         8.3627,         7.6368,
   2013,         1.1298,       597.2134,       269.0241,       330.1186,       392.9647,         0.0000,       586.8200,        51.1799,       295.0995,       401.4771,       160.0046,        21.8039,        87.2155,       165.7004,       164.9370,       180.7276,       284.1520,       283.5659,       467.3422,     85114.0781,     71539.6328,       159.3272,        23.2937,        91.1533,       246.3249,        20.8263,       311.0658,       338.1900,        16.1179,        23.7588,        34.9925,         3.6636,         8.4612,         0.0000,         8.1834,         7.1142,
   2011,         1.1231,       653.3553,       270.4976,       381.0631,       441.9518,         0.0033,       647.3796,        57.0991,       367.5403,       393.4094,       160.1759,        22.0643,        88.2574,       167.5891,       164.0179,       179.3177,       277.2620,       281.0344,       471.1265,     84866.1172,     71616.4531,       161.1433,        22.8221,        89.0039,       270.2893,        23.4150,       356.0035,       382.8362,        18.3189,        27.9941,        41.0878,         4.0379,         9.9631,         0.0000,         9.7245,         8.3065,
   2012,         1.1196,       704.8619,       282.4171,       422.7640,       417.8375,         0.0000,       660.5292,        65.7971,       376.8465,       400.8432,       165.9629,        23.2908,        93.1632,       173.1413,       164.3222,       182.3521,       271.3148,       277.4818,       468.7813,     84613.2812,     71695.6484,       166.4821,        22.7484,        89.9592,       252.4494,        21.8827,       335.3120,       361.6111,        17.3739,        24.9872,        37.2426,         4.7135,         8.6243,         0.6329,         8.6712,         7.6917,
   2013,         1.1252,       595.2812,       268.2408,       328.8457,       391.9077,         0.0000,       586.8200,        50.9865,       294.9493,       401.5753,       159.3974,        21.7687,        87.0749,       164.9276,       163.3326,       179.5109,       282.5035,       276.1140,       469.1490,     84377.3750,     71768.9141,       158.5838,        23.0675,        90.5403,       244.8880,        20.2802,       312.1008,       335.2807,        16.1707,        23.8270,        34.8974,         3.6603,         8.4766,         0.0000,         8.2699,         7.0805,
   2011,         1.1191,       651.5386,       269.7574,       379.8549,       439.8848,         0.0033,       647.3796,        56.9140,       367.4439,       393.4547,       159.6015,        22.0312,        88.1248,       166.9142,       162.5935,       178.4720,       275.8277,       273.9762,       470.2901,     84136.8984,     71853.1172,       160.4944,        22.6241,        88.5846,       268.8897,        22.8283,       355.2675,       379.5461,        18.3786,        28.3937,        40.8872,         4.0202,         9.9311,         0.0000,        10.1165,         8.3460,
