 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
     60,         0.0094,       -47.1925,         0.0953,         0.0945,         0.0946,        -0.2996,         0.0700,         0.4337
     61,         0.0076,       -48.2623,         0.0953,         0.0945,         0.0947,        -0.4329,        -0.0483,         0.3213
     62,         0.0146,       -49.0684,         0.0953,         0.0945,         0.0947,        -0.3262,         0.0621,         0.4338
     63,         0.0198,       -49.7185,         0.0953,         0.0945,         0.0946,        -0.2604,         0.0971,         0.4508
     64,         0.0239,       -50.5024,         0.0952,         0.0944,         0.0946,        -0.2850,         0.0612,         0.4083
     65,         0.0093,       -51.2520,         0.0950,         0.0945,         0.0946,        -0.2537,         0.0858,         0.4296
     66,         0.0211,       -51.7281,         0.0946,         0.0944,         0.0946,        -0.2308,         0.0983,         0.4342
     67,         0.0143,       -52.5247,         0.0943,         0.0944,         0.0946,        -0.3025,         0.0421,         0.3862
     68,         0.0122,       -53.3297,         0.0940,         0.0944,         0.0946,        -0.1842,         0.1492,         0.4862
     69,         0.0242,       -54.1015,         0.0936,         0.0944,         0.0946,        -0.1388,         0.1629,         0.4792
     70,         0.0115,       -55.0700,         0.0931,         0.0942,         0.0945,        -0.1300,         0.1667,         0.4800
     71,         0.0116,       -54.7663,         0.0939,         0.0943,         0.0945,        -0.0925,         0.1758,         0.4717
     72,         0.0235,       -54.5289,         0.0936,         0.0943,         0.0946,        -0.1433,         0.1308,         0.4296
     73,         0.0173,       -55.2000,         0.0931,         0.0943,         0.0945,        -0.1212,         0.1700,         0.4767
     74,         0.0144,       -56.0579,         0.0928,         0.0943,         0.0945,        -0.0567,         0.2075,         0.4992
     75,         0.0086,       -56.8746,         0.0923,         0.0942,         0.0945,        -0.0912,         0.1746,         0.4642
     76,         0.0127,       -55.0606,         0.0943,         0.0942,         0.0945,        -0.0333,         0.2212,         0.5054
     77,         0.0134,       -54.0630,         0.0939,         0.0942,         0.0945,        -0.0704,         0.1717,         0.4458
     78,         0.0129,       -54.8996,         0.0934,         0.0942,         0.0945,        -0.1275,         0.1308,         0.4150
     79,         0.0090,       -54.2841,         0.0947,         0.0943,         0.0945,        -0.0354,         0.2075,         0.4783
     80,         0.0136,       -51.9978,         0.0950,         0.0943,         0.0945,        -0.0246,         0.2137,         0.4825
     81,         0.0095,       -52.3677,         0.0946,         0.0943,         0.0945,        -0.0638,         0.1679,         0.4292
     82,         0.0310,       -53.8093,         0.0939,         0.0941,         0.0945,        -0.0792,         0.1533,         0.4154
     83,         0.0229,       -55.3769,         0.0933,         0.0941,         0.0944,        -0.1437,         0.0946,         0.3613
     84,         0.0163,       -56.6864,         0.0927,         0.0940,         0.0944,        -0.1450,         0.1025,         0.3742
     85,         0.0177,       -58.1275,         0.0920,         0.0940,         0.0944,        -0.1300,         0.1108,         0.3817
     86,         0.0168,       -59.2565,         0.0914,         0.0941,         0.0944,        -0.1804,         0.0833,         0.3633
     87,         0.0187,       -60.4238,         0.0907,         0.0940,         0.0944,        -0.1958,         0.0863,         0.3775
     88,         0.0181,       -61.8197,         0.0900,         0.0940,         0.0943,        -0.1433,         0.1187,         0.3967
     89,         0.0157,       -63.3104,         0.0892,         0.0939,         0.0943,        -0.1000,         0.1379,         0.4033
     90,         0.0095,       -64.4660,         0.0886,         0.0940,         0.0944,        -0.0733,         0.1604,         0.4179
     91,         0.0080,       -61.7511,         0.0930,         0.0942,         0.0944,        -0.0371,         0.1888,         0.4396
     92,         0.0146,       -56.9699,         0.0925,         0.0941,         0.0944,        -0.0079,         0.2146,         0.4663
     93,         0.0091,       -53.2919,         0.0953,         0.0943,         0.0945,        -0.0317,         0.1875,         0.4317
     94,         0.0100,       -46.6305,         0.0953,         0.0942,         0.0945,        -0.0083,         0.2067,         0.4550
     95,         0.0101,       -46.1362,         0.0953,         0.0942,         0.0945,        -0.0800,         0.1429,         0.3937
     96,         0.0215,       -47.7037,         0.0953,         0.0942,         0.0945,        -0.0583,         0.1688,         0.4213
