 year,LAI,gpp_yr,NPP_yr,Ra_yr,Rh_yr,    ET,rain_yr,transp_yr,evap_yr,runoff_yr,GL_yr,       GW_yr,GR_yr,Pool1,Pool2,Pool3,Pool4,Pool5,      Pool6,Pool7,Pool8,out1_yr,out2_yr,out3_yr,      out4_yr,out5_yr,out6_yr,out7_yr,out8_yr,        simuCH4_yr,Pro_sum_yr,Oxi_sum_yr,Fdifu1_yr,    Ebu_sum_unsat_yr,Ebu_sum_sat_yr,Pla_sum_yr
   2011,         1.1193,       646.9512,       284.1847,       445.3660,       348.3991,         0.0031,       647.3796,        56.4300,       363.7556,       380.7327,       172.0925,        25.5905,        86.5016,       161.6028,        66.0694,       191.3990,       164.8991,       297.3973,       362.4938,     86416.4375,     71149.8594,       155.3853,        20.4099,        92.9559,       162.6512,        24.3479,       269.6826,       383.0822,        17.8853,        13.0541,        31.5019,         3.0940,         6.9692,         0.0000,         0.0000,         6.0849,
   2012,         1.0983,       695.0998,       275.4951,       420.5233,       371.0689,         0.0003,       660.5292,        64.7201,       375.8035,       325.5584,       160.6346,        22.9722,        91.8887,       170.2318,        69.2953,       190.9022,       231.7057,       291.3750,       394.0484,     86114.3281,     71223.1484,       163.6849,        21.2935,        92.0881,       214.2008,        22.6396,       278.9992,       362.6049,        17.0051,        12.2496,        31.6651,         5.0380,         5.7922,         0.7357,         0.8737,         5.5838,
   2013,         1.0871,       582.3522,       258.2424,       326.3645,       370.5641,         0.0000,       586.8200,        49.7038,       293.6380,       348.6438,       152.3409,        21.1803,        84.7211,       160.1282,        69.0622,       184.3318,       266.8677,       288.2878,       424.7534,     85867.2266,     71297.5781,       153.9694,        22.0587,        92.5103,       230.4977,        21.0185,       281.8043,       338.8412,        15.9542,        19.6188,        32.0100,         3.6603,         6.9769,         0.0000,         6.4201,         6.2218,
   2011,         1.0757,       632.9214,       260.2602,       371.7874,       422.8279,         0.0030,       647.3796,        55.0309,       364.1660,       344.9887,       152.5036,        21.5513,        86.2053,       160.3358,        68.8328,       180.2148,       267.7253,       284.5545,       446.6560,     85613.8906,     71379.3594,       154.1692,        21.2088,        87.1705,       256.7183,        23.2731,       331.9297,       379.0231,        17.9179,        25.0926,        37.9677,         4.5192,         8.9596,         0.7013,         8.5730,         7.5600,
   2012,         1.0729,       680.7087,       272.5394,       408.0732,       407.0518,         0.0000,       660.5292,        63.1669,       374.4725,       326.0038,       158.2548,        22.8569,        91.4276,       164.9990,        70.2552,       183.7265,       264.2541,       279.8516,       455.3795,     85351.7969,     71453.7344,       158.6529,        21.5487,        88.4427,       242.2317,        21.7325,       321.0041,       359.1567,        17.0478,        21.2737,        34.6111,         6.1849,         7.1058,         1.5681,         7.2010,         6.9669,
   2013,         1.0726,       575.1058,       256.8857,       319.9463,       385.6711,         0.0000,       586.8200,        48.9838,       293.1187,       350.1550,       151.1039,        21.1564,        84.6256,       157.1979,        69.7094,       179.7411,       275.7369,       277.8021,       461.1133,     85121.2656,     71528.6719,       151.1519,        22.2671,        90.2126,       237.4635,        20.2581,       304.8143,       335.9236,        16.0060,        22.0540,        33.2857,         3.8448,         7.3948,         0.0000,         7.9903,         6.6689,
   2011,         1.0668,       628.3026,       259.3188,       367.8128,       429.2266,         0.0029,       647.3796,        54.5675,       363.8842,       345.3773,       151.6695,        21.5299,        86.1195,       158.6032,        69.2863,       177.3636,       268.7697,       274.9973,       464.9353,     84874.5625,     71606.3828,       152.5034,        21.3514,        85.7888,       257.5012,        22.4953,       344.7914,       375.7886,        17.9764,        25.6617,        38.5376,         4.5812,         9.1787,         0.7558,         8.7967,         7.6862,
   2012,         1.0675,       677.7031,       271.8285,       405.5086,       408.3376,         0.0000,       660.5292,        62.8446,       374.2479,       326.2819,       157.7094,        22.8237,        91.2950,       163.9197,        70.5620,       181.8621,       263.1072,       271.1358,       462.8187,     84629.6328,     71684.3828,       157.6150,        21.6458,        87.5518,       241.1300,        21.0589,       325.9408,       356.1086,        17.1037,        21.7476,        34.7168,         6.2282,         7.1424,         1.5998,         7.5689,         7.0364,
   2013,         1.0695,       573.6400,       256.5358,       318.8630,       384.9177,         0.0000,       586.8200,        48.8380,       292.9855,       350.2971,       150.8532,        21.1365,        84.5462,       156.5899,        69.9112,       178.5168,       274.2540,       269.7748,       463.2115,     84393.3047,     71755.0469,       150.5672,        22.3319,        89.5993,       236.1779,        19.6751,       306.0284,       333.0599,        16.0574,        22.1694,        33.2083,         3.8417,         7.4181,         0.0000,         7.9679,         6.7834,
   2011,         1.0644,       627.1211,       258.9213,       366.9785,       427.4242,         0.0029,       647.3796,        54.4492,       363.8184,       345.4267,       151.3543,        21.5134,        86.0538,       158.1772,        69.4170,       176.5629,       267.5710,       267.6099,       464.3166,     84157.6875,     71833.6562,       152.0937,        21.3925,        85.4012,       256.3592,        21.8934,       344.2406,       372.5887,        18.0341,        26.1137,        38.3645,         4.6237,         9.1529,         0.7327,         9.2501,         7.7109,
