 sdoy, GPP_d, NEE_d, Reco_d, QC1, GL_yr, QC2, GW_yr, QC3, GR_yr, QC678, pheno, LAI,NPP_d,Rh_d, Ra_d
      1,         0.0000,         0.5506,         0.5506,       155.1528,       462.9858,        70.6207,     84267.1719,       180.7569,       274.0472,    156531.6562,       136.0000,       268.5518,         0.0000,         0.4734,         0.0771
      2,         0.0050,         0.5058,         0.5108,       154.7445,       462.9883,        70.5582,     84266.9844,       180.5055,       274.4350,    156531.4688,       136.0000,       268.5824,         0.0000,         0.4700,         0.0408
      3,         0.0006,         0.4835,         0.4840,       154.3374,       462.9907,        70.4957,     84266.7969,       180.2544,       274.8251,    156531.2812,       136.0000,       268.6126,         0.0000,         0.4649,         0.0191
      4,         0.0083,         0.4774,         0.4857,       153.9313,       462.9933,        70.4333,     84266.6094,       180.0038,       275.2121,    156531.0938,       136.0000,       268.6426,         0.0000,         0.4662,         0.0195
      5,         0.0136,         0.4878,         0.5014,       153.5263,       462.9965,        70.3710,     84266.4219,       179.7536,       275.5940,    156530.9062,       136.0000,       268.6725,         0.0000,         0.4716,         0.0298
      6,         0.0032,         0.4797,         0.4829,       153.1224,       463.0001,        70.3088,     84266.2344,       179.5040,       275.9760,    156530.7188,       136.0000,       268.7025,         0.0000,         0.4684,         0.0145
      7,         0.0014,         0.4837,         0.4852,       152.7195,       463.0036,        70.2467,     84266.0469,       179.2548,       276.3541,    156530.5312,       136.0000,       268.7325,         0.0000,         0.4714,         0.0137
      8,         0.0070,         0.4669,         0.4739,       152.3177,       463.0074,        70.1846,     84265.8594,       179.0061,       276.7322,    156530.3594,       136.0000,       268.7624,         0.0000,         0.4686,         0.0053
      9,         0.0130,         0.4530,         0.4660,       151.9170,       463.0112,        70.1227,     84265.6719,       178.7580,       277.1110,    156530.1719,       136.0000,       268.7923,         0.0000,         0.4654,         0.0006
     10,         0.0141,         0.4545,         0.4686,       151.5173,       463.0154,        70.0609,     84265.4844,       178.5103,       277.4854,    156530.0000,       136.0000,       268.8222,         0.0000,         0.4686,         0.0000
     11,         0.0366,         0.4354,         0.4721,       151.1186,       463.0201,        69.9992,     84265.2969,       178.2632,       277.8559,    156529.8125,       136.0000,       268.8521,         0.0000,         0.4721,         0.0000
     12,         0.0348,         0.4370,         0.4717,       150.7210,       463.0249,        69.9375,     84265.1094,       178.0165,       278.2247,    156529.6250,       136.0000,       268.8818,         0.0000,         0.4717,         0.0000
     13,         0.0245,         0.4474,         0.4719,       150.3244,       463.0300,        69.8760,     84264.9219,       177.7704,       278.5915,    156529.4375,       136.0000,       268.9110,         0.0000,         0.4719,         0.0000
     14,         0.0078,         0.4630,         0.4708,       149.9289,       463.0356,        69.8145,     84264.7344,       177.5247,       278.9572,    156529.2656,       136.0000,       268.9403,         0.0000,         0.4708,         0.0000
     15,         0.0059,         0.4617,         0.4676,       149.5345,       463.0412,        69.7531,     84264.5469,       177.2795,       279.3232,    156529.0781,       136.0000,       268.9696,         0.0000,         0.4676,         0.0000
     16,         0.0038,         0.4616,         0.4654,       149.1410,       463.0466,        69.6918,     84264.3594,       177.0347,       279.6887,    156528.9062,       136.0000,       268.9989,         0.0000,         0.4654,         0.0000
     17,         0.0000,         0.4698,         0.4698,       148.7487,       463.0528,        69.6307,     84264.1719,       176.7906,       280.0496,    156528.7188,       136.0000,       269.0282,         0.0000,         0.4698,         0.0000
     18,         0.0047,         0.4622,         0.4668,       148.3573,       463.0590,        69.5696,     84263.9844,       176.5469,       280.4109,    156528.5312,       136.0000,       269.0575,         0.0000,         0.4668,         0.0000
     19,         0.0081,         0.4583,         0.4664,       147.9669,       463.0651,        69.5086,     84263.7969,       176.3037,       280.7702,    156528.3438,       136.0000,       269.0867,         0.0000,         0.4664,         0.0000
     20,         0.0026,         0.4613,         0.4639,       147.5776,       463.0712,        69.4477,     84263.6094,       176.0611,       281.1292,    156528.1719,       136.0000,       269.1162,         0.0000,         0.4639,         0.0000
     21,         0.0000,         0.4567,         0.4567,       147.1894,       463.0772,        69.3869,     84263.4219,       175.8189,       281.4914,    156528.0000,       136.0000,       269.1459,         0.0000,         0.4567,         0.0000
