 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
      1,         0.0000,         0.5506,         0.5506,         0.0000,         0.0771,       155.1528,        70.6207,       180.7569,       274.0472,       268.5518,       462.9858,         0.4734,     84267.1719,     71801.4922
      2,         0.0050,         0.5058,         0.5108,         0.0000,         0.0408,       154.7445,        70.5582,       180.5055,       274.4350,       268.5824,       462.9883,         0.4700,     84266.9844,     71801.4922
      3,         0.0006,         0.4835,         0.4840,         0.0000,         0.0191,       154.3374,        70.4957,       180.2544,       274.8251,       268.6126,       462.9907,         0.4649,     84266.7969,     71801.4922
      4,         0.0083,         0.4774,         0.4857,         0.0000,         0.0195,       153.9313,        70.4333,       180.0038,       275.2121,       268.6426,       462.9933,         0.4662,     84266.6094,     71801.4922
      5,         0.0136,         0.4878,         0.5014,         0.0000,         0.0298,       153.5263,        70.3710,       179.7536,       275.5940,       268.6725,       462.9965,         0.4716,     84266.4219,     71801.4922
      6,         0.0032,         0.4797,         0.4829,         0.0000,         0.0145,       153.1224,        70.3088,       179.5040,       275.9760,       268.7025,       463.0001,         0.4684,     84266.2344,     71801.4922
      7,         0.0014,         0.4837,         0.4852,         0.0000,         0.0137,       152.7195,        70.2467,       179.2548,       276.3541,       268.7325,       463.0036,         0.4714,     84266.0469,     71801.4922
      8,         0.0070,         0.4669,         0.4739,         0.0000,         0.0053,       152.3177,        70.1846,       179.0061,       276.7322,       268.7624,       463.0074,         0.4686,     84265.8594,     71801.4922
      9,         0.0130,         0.4530,         0.4660,         0.0000,         0.0006,       151.9170,        70.1227,       178.7580,       277.1110,       268.7923,       463.0112,         0.4654,     84265.6719,     71801.4922
     10,         0.0141,         0.4545,         0.4686,         0.0000,         0.0000,       151.5173,        70.0609,       178.5103,       277.4854,       268.8222,       463.0154,         0.4686,     84265.4844,     71801.4922
     11,         0.0366,         0.4354,         0.4721,         0.0000,         0.0000,       151.1186,        69.9992,       178.2632,       277.8559,       268.8521,       463.0201,         0.4721,     84265.2969,     71801.4922
     12,         0.0348,         0.4370,         0.4717,         0.0000,         0.0000,       150.7210,        69.9375,       178.0165,       278.2247,       268.8818,       463.0249,         0.4717,     84265.1094,     71801.4922
     13,         0.0245,         0.4474,         0.4719,         0.0000,         0.0000,       150.3244,        69.8760,       177.7704,       278.5915,       268.9110,       463.0300,         0.4719,     84264.9219,     71801.4922
     14,         0.0078,         0.4630,         0.4708,         0.0000,         0.0000,       149.9289,        69.8145,       177.5247,       278.9572,       268.9403,       463.0356,         0.4708,     84264.7344,     71801.4922
     15,         0.0059,         0.4617,         0.4676,         0.0000,         0.0000,       149.5345,        69.7531,       177.2795,       279.3232,       268.9696,       463.0412,         0.4676,     84264.5469,     71801.4922
     16,         0.0038,         0.4616,         0.4654,         0.0000,         0.0000,       149.1410,        69.6918,       177.0347,       279.6887,       268.9989,       463.0466,         0.4654,     84264.3594,     71801.4922
     17,         0.0000,         0.4698,         0.4698,         0.0000,         0.0000,       148.7487,        69.6307,       176.7906,       280.0496,       269.0282,       463.0528,         0.4698,     84264.1719,     71801.4922
     18,         0.0047,         0.4622,         0.4668,         0.0000,         0.0000,       148.3573,        69.5696,       176.5469,       280.4109,       269.0575,       463.0590,         0.4668,     84263.9844,     71801.4922
     19,         0.0081,         0.4583,         0.4664,         0.0000,         0.0000,       147.9669,        69.5086,       176.3037,       280.7702,       269.0867,       463.0651,         0.4664,     84263.7969,     71801.4922
     20,         0.0026,         0.4613,         0.4639,         0.0000,         0.0000,       147.5776,        69.4477,       176.0611,       281.1292,       269.1162,       463.0712,         0.4639,     84263.6094,     71801.4922
     21,         0.0000,         0.4567,         0.4567,         0.0000,         0.0000,       147.1894,        69.3869,       175.8189,       281.4914,       269.1459,       463.0772,         0.4567,     84263.4219,     71801.4922
     22,         0.0036,         0.4573,         0.4609,         0.0000,         0.0000,       146.8021,        69.3262,       175.5773,       281.8494,       269.1750,       463.0835,         0.4609,     84263.2344,     71801.4922
     23,         0.0000,         0.4594,         0.4594,         0.0000,         0.0000,       146.4159,        69.2656,       175.3361,       282.2064,       269.2040,       463.0899,         0.4594,     84263.0469,     71801.4922
     24,         0.0033,         0.4630,         0.4663,         0.0000,         0.0000,       146.0306,        69.2051,       175.0955,       282.5562,       269.2325,       463.0970,         0.4663,     84262.8594,     71801.4922
     25,         0.0218,         0.4450,         0.4668,         0.0000,         0.0000,       145.6464,        69.1446,       174.8554,       282.9042,       269.2611,       463.1045,         0.4668,     84262.6719,     71801.4922
     26,         0.0282,         0.4400,         0.4682,         0.0000,         0.0000,       145.2632,        69.0843,       174.6157,       283.2494,       269.2897,       463.1127,         0.4682,     84262.4844,     71801.4922
     27,         0.0496,         0.4191,         0.4687,         0.0000,         0.0000,       144.8810,        69.0241,       174.3764,       283.5923,       269.3182,       463.1208,         0.4686,     84262.2969,     71801.4922
     28,         0.0076,         0.4604,         0.4679,         0.0000,         0.0000,       144.4998,        68.9639,       174.1376,       283.9341,       269.3468,       463.1293,         0.4679,     84262.1094,     71801.4922
     29,         0.0150,         0.4528,         0.4678,         0.0000,         0.0000,       144.1197,        68.9038,       173.8993,       284.2743,       269.3754,       463.1377,         0.4678,     84261.9219,     71801.4922
     30,         0.0101,         0.4536,         0.4637,         0.0000,         0.0000,       143.7405,        68.8438,       173.6615,       284.6154,       269.4041,       463.1460,         0.4637,     84261.7344,     71801.4922
     31,         0.0036,         0.4582,         0.4618,         0.0000,         0.0000,       143.3623,        68.7840,       173.4241,       284.9558,       269.4323,       463.1546,         0.4618,     84261.5469,     71801.4922
     32,         0.0080,         0.4529,         0.4610,         0.0000,         0.0000,       142.9851,        68.7242,       173.1873,       285.2957,       269.4607,       463.1629,         0.4610,     84261.3594,     71801.4922
     33,         0.0148,         0.4436,         0.4584,         0.0000,         0.0000,       142.6089,        68.6645,       172.9512,       285.6359,       269.4891,       463.1714,         0.4584,     84261.1719,     71801.4922
     34,         0.0482,         0.4144,         0.4626,         0.0000,         0.0000,       142.2337,        68.6050,       172.7157,       285.9705,       269.5172,       463.1801,         0.4626,     84260.9844,     71801.4922
     35,         0.0812,         0.3841,         0.4653,         0.0000,         0.0000,       141.8595,        68.5456,       172.4809,       286.3018,       269.5451,       463.1893,         0.4653,     84260.7969,     71801.4922
     36,         0.1227,         0.3438,         0.4665,         0.0000,         0.0001,       141.4863,        68.4863,       172.2465,       286.6306,       269.5730,       463.1989,         0.4664,     84260.6094,     71801.4922
