days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	8.5013	8.5013	-1.6371	1.6371	6.8641	6.8641
991	9.6694	9.6694	-5.4722	5.4722	4.1972	4.1972
1263	7.4879	7.4879	-2.5935	2.5935	4.8944	4.8944
1286	9.4293	9.4293	-8.0557	8.0557	1.3737	1.3737
1350	5.0717	0.8322	-2.399	0.0575	2.6727	0.7747
1390	0.0353	0.1938	1.118	0.3086	1.1533	0.1148
1559	0.8024	0.8024	-0.2063	0.2063	0.5961	0.5961
1630	7.5657	1.0637	-4.8711	0.6408	2.6947	0.4229
1663	9.2099	1.3335	-4.0318	1.5718	5.1781	0.2383
1744	4.3903	0.0737	-1.5004	0.0732	2.8899	0.1469
1785	0.9018	0.9018	-0.0653	0.0653	0.8365	0.8365
1908	0.8993	0.1811	-0.1597	0.2607	0.7396	0.0796
1960	2.0189	0.8747	-0.5446	0.7373	1.4743	0.1374
1994	18.4212	4.8171	-8.366	0.5028	10.0552	4.3144
2027	14.8647	0.4102	-6.2505	1.4174	8.6142	1.8276
2078	1.8812	0.6776	0.9233	1.765	2.8045	1.0874
2118	9.3752	1.2841	-6.7523	1.1862	2.6229	0.098
2167	0	0	0.5949	0.5949	0.5665	0.5665
2300	1.6119	0.4675	-0.3865	0.4026	1.2253	0.0649
2315	7.1956	0.6074	-1.1976	0.8203	5.998	0.2129
2363	6.216	0.4609	-1.6224	0.6599	4.5936	0.199
2391	14.0714	14.0714	-8.7676	8.7676	5.3038	5.3038
2453	8.9028	4.8483	-5.8049	8.0801	3.0978	3.2318
2502	0.2939	0.7103	0.8272	0.4154	1.1211	0.2949
2664	1.8791	1.8791	-1.6364	1.6364	0.2426	0.2426
2687	4.0215	4.0215	-3.9831	3.9831	0.0385	0.0385
2818	6.0747	1.0227	-1.0843	0.7631	4.9905	1.7858
