days	c10_mn	c10_sd	c15_mn	c15_sd	c25_mn	c25sd	c50_mn	c50_sd	c75_mn	c75_sd	c100_mn	c100_sd	c150_mn	c150_sd	c180_mn	c180_sd	c200_mn	c200_sd
1566	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	5.76	-9999	6	-9999	-9999	-9999	9.72	-9999
1626	3.12	-9999	-9999	-9999	4.32	-9999	5.88	-9999	7.44	-9999	6	-9999	7.56	-9999	-9999	-9999	9.96	-9999
1656	5.52	-9999	-9999	-9999	5.64	-9999	6.12	-9999	8.04	-9999	8.52	-9999	9.12	-9999	-9999	-9999	11.64	-9999
1686	1.56	-9999	-9999	-9999	2.16	-9999	5.88	-9999	6.6	-9999	8.04	-9999	8.4	-9999	-9999	-9999	5.16	-9999
1716	4.68	-9999	-9999	-9999	6	-9999	5.28	-9999	6.48	-9999	6.96	-9999	7.32	-9999	-9999	-9999	9.6	-9999
1991	-9999	-9999	-9999	-9999	4.32	-9999	7.32	-9999	9.96	-9999	11.52	-9999	9.84	-9999	-9999	-9999	12.72	-9999
2021	4.44	-9999	-9999	-9999	4.44	-9999	6.84	-9999	8.64	-9999	10.32	-9999	9.84	-9999	-9999	-9999	11.28	-9999
2051	6.24	-9999	-9999	-9999	19.56	-9999	6.48	-9999	8.64	-9999	9	-9999	9.12	-9999	-9999	-9999	10.68	-9999
2327	4.32	-9999	-9999	-9999	4.08	-9999	9.72	-9999	-9999	-9999	12.18	-9999	12	-9999	-9999	-9999	12.48	-9999
2387	6.84	-9999	-9999	-9999	4.92	-9999	5.28	-9999	9.6	-9999	10.08	-9999	9.48	-9999	-9999	-9999	9.12	-9999
2417	-9999	-9999	-9999	-9999	67.74	-9999	3.36	-9999	7.8	-9999	3.48	-9999	4.68	-9999	-9999	-9999	10.56	-9999
2722	24.24	-9999	-9999	-9999	4.2	-9999	9.84	-9999	11.76	-9999	7.8	-9999	7.8	-9999	-9999	-9999	8.88	-9999
2752	6.48	-9999	-9999	-9999	7.08	-9999	6.6	-9999	9.96	-9999	8.04	-9999	8.16	-9999	-9999	-9999	8.64	-9999
2782	18.6	-9999	-9999	-9999	-9999	-9999	4.56	-9999	9.48	-9999	8.88	-9999	8.64	-9999	-9999	-9999	10.2	-9999
