days	CH4	CH4_sd
935	0.2057	0.04
992	0.115	0.04
1033	0.0527	0.04
1263	0.0519	0.04
1286	0.1514	0.04
1350	0.1908	0.04
1391	0.1586	0.04
1434	0.0322	0.04
1559	0.0168	0.04
1630	0.0589	0.04
1663	0.6156	0.04
1713	0.5938	0.04
1745	0.6312	0.04
1785	0.0852	0.04
1908	0.0201	0.04
1959	0.1479	0.04
1994	0.075	0.04
2025	0.1471	0.04
2078	0.142	0.04
2119	0.1176	0.04
2168	0.0459	0.04
2300	0.0151	0.04
2315	0.0656	0.04
2364	0.1159	0.04
2390	0.1342	0.04
2391	0.0898	0.04
2431	0.0377	0.04
2453	0.0689	0.04
2455	0.0508	0.04
2489	0.1168	0.04
2503	0.0557	0.04
2665	0.0053	0.04
2687	0.0117	0.04
2716	0.0619	0.04
2770	0.2593	0.04
2818	0.343	0.04
