 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8830,         0.0428,         0.2385,         0.2813,       154.0727,       476.9582,        78.7968,     80789.2422,       203.6967,       346.5750,    154167.4375,       111.0000,       257.1133,         0.0000,         0.2813,         0.0000
   8831,         0.0554,         0.1884,         0.2438,       153.6673,       476.9681,        78.7583,     80789.0547,       203.5401,       346.9774,    154167.2656,       111.0000,       257.1360,         0.0000,         0.2438,         0.0000
   8832,         0.1038,         0.1171,         0.2209,       153.2630,       476.9766,        78.7234,     80788.8672,       203.3985,       347.3791,    154167.0938,       111.0000,       257.1564,         0.0000,         0.2209,         0.0000
   8833,         0.1664,         0.0243,         0.1907,       152.8598,       476.9841,        78.6932,     80788.6797,       203.2757,       347.7812,    154166.9062,       111.0000,       257.1742,         0.0000,         0.1906,         0.0001
   8834,         0.2766,        -0.0862,         0.1904,       152.4576,       476.9922,        78.6637,     80788.4922,       203.1563,       348.1786,    154166.7188,       111.0000,       257.1914,         0.0000,         0.1895,         0.0009
   8835,         0.5171,        -0.3029,         0.2141,       152.0565,       477.0021,        78.6325,     80788.3047,       203.0296,       348.5679,    154166.5469,       111.0000,       257.2090,         0.0000,         0.2087,         0.0055
   8836,         0.1486,         0.1290,         0.2776,       151.6564,       477.0163,        78.5927,     80788.1172,       202.8679,       348.9431,    154166.3750,       111.0000,       257.2311,         0.0000,         0.2765,         0.0011
   8837,         0.2547,         0.0855,         0.3402,       151.2574,       477.0339,        78.5434,     80787.9297,       202.6681,       349.3116,    154166.2031,       111.0000,       257.2584,         0.0000,         0.3398,         0.0004
   8838,         0.6712,        -0.2551,         0.4160,       150.8594,       477.0557,        78.4848,     80787.6406,       202.4306,       349.6693,    154165.9375,       111.0000,       257.2906,         0.0000,         0.4076,         0.0084
   8839,         1.0067,        -0.5041,         0.5027,       150.4625,       477.0821,        78.4165,     80787.4531,       202.1538,       350.0128,    154165.7812,       111.0000,       257.3277,         0.0000,         0.4799,         0.0227
