 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   8851,         1.1190,        -0.4710,         0.6480,         0.0007,         0.1531,       145.8294,        77.6032,       198.8687,       354.0594,       257.7787,       477.4069,         0.4949,     80785.1094,     72901.2422
   8852,         1.3951,        -0.7203,         0.6748,         0.0233,         0.1758,       145.4573,        77.5369,       198.6017,       354.3709,       257.8156,       477.4378,         0.4990,     80784.9219,     72901.2422
   8853,         1.6733,        -0.9507,         0.7226,         0.0539,         0.2134,       145.1015,        77.4737,       198.3474,       354.6722,       257.8519,       477.4701,         0.5092,     80784.7344,     72901.2422
   8854,         1.5106,        -0.7815,         0.7291,         0.0548,         0.2215,       144.7471,        77.4108,       198.0941,       354.9737,       257.8879,       477.5023,         0.5076,     80784.5469,     72901.2422
   8855,         1.0344,        -0.3617,         0.6727,         0.0000,         0.1689,       144.3663,        77.3429,       197.8212,       355.2749,       257.9236,       477.5344,         0.5038,     80784.3594,     72901.2422
   8856,         1.1099,        -0.4495,         0.6603,         0.0000,         0.1597,       143.9865,        77.2756,       197.5509,       355.5743,       257.9590,       477.5664,         0.5007,     80784.1719,     72901.2422
   8857,         1.4848,        -0.7833,         0.7015,         0.0481,         0.2019,       143.6317,        77.2138,       197.3026,       355.8694,       257.9938,       477.5991,         0.4996,     80783.9844,     72901.2422
   8858,         2.2777,        -1.4489,         0.8288,         0.1506,         0.3066,       143.3290,        77.1629,       197.0981,       356.1413,       258.0268,       477.6352,         0.5222,     80783.7969,     72901.2422
   8859,         1.9777,        -1.1076,         0.8702,         0.1690,         0.3418,       143.0363,        77.1143,       196.9028,       356.4042,       258.0591,       477.6721,         0.5284,     80783.6094,     72901.2422
   8860,         0.7495,        -0.0381,         0.7114,         0.0000,         0.2052,       142.6600,        77.0494,       196.6421,       356.6829,       258.0922,       477.7057,         0.5062,     80783.4219,     72901.2422
   8861,         1.0611,        -0.3865,         0.6747,         0.0000,         0.1960,       142.2847,        76.9849,       196.3839,       356.9812,       258.1262,       477.7361,         0.4787,     80783.2344,     72901.2422
   8862,         1.9885,        -1.1462,         0.8423,         0.1795,         0.3504,       142.0000,        76.9390,       196.1996,       357.2635,       258.1589,       477.7688,         0.4919,     80783.0469,     72901.2422
   8863,         2.4594,        -1.4704,         0.9890,         0.2872,         0.4722,       141.7699,        76.9043,       196.0603,       357.5226,       258.1900,       477.8052,         0.5167,     80782.8594,     72901.2422
   8864,         2.5277,        -1.3660,         1.1618,         0.4518,         0.6240,       141.6226,        76.8865,       195.9888,       357.7619,       258.2197,       477.8441,         0.5378,     80782.6719,     72901.2422
   8865,         2.3901,        -1.1014,         1.2887,         0.5281,         0.7033,       141.5138,        76.8767,       195.9494,       357.9612,       258.2469,       477.8888,         0.5854,     80782.4766,     72901.2500
   8866,         1.8471,        -0.7022,         1.1449,         1.9501,         0.5731,       142.9878,        76.8348,       195.7816,       358.1738,       258.2744,       477.9302,         0.5718,     80782.2891,     72901.2500
   8867,         1.1232,        -0.0489,         1.0743,         1.7473,         0.5011,       144.3565,        76.7729,       195.5334,       358.3892,       258.3018,       477.9713,         0.5732,     80782.1016,     72901.2500
   8868,         0.3739,         0.7012,         1.0751,         1.7473,         0.5143,       145.7217,        76.7067,       195.2690,       358.6281,       258.3331,       478.0099,         0.5608,     80781.9141,     72901.2500
   8869,         1.2028,        -0.1472,         1.0557,         1.7588,         0.4888,       147.0891,        76.6401,       195.0025,       358.8658,       258.3652,       478.0506,         0.5669,     80781.7266,     72901.2500
   8870,         0.5880,         0.5356,         1.1235,         1.7473,         0.5411,       148.4471,        76.5724,       194.7316,       359.0947,       258.3965,       478.0927,         0.5824,     80781.5391,     72901.2500
   8871,         2.4557,        -1.0874,         1.3682,         2.2257,         0.7513,       150.0405,        76.5524,       194.6524,       359.2968,       258.4260,       478.1400,         0.6169,     80781.2500,     72901.3516
   8872,         2.9819,        -1.4032,         1.5787,         2.4333,         0.9076,       151.7334,        76.5534,       194.6564,       359.4587,       258.4528,       478.1937,         0.6711,     80780.9219,     72901.4922
   8873,         0.2730,         0.9561,         1.2290,         1.7473,         0.5889,       153.0791,        76.4857,       194.3861,       359.6548,       258.4813,       478.2402,         0.6402,     80780.5625,     72901.6641
   8874,         0.7138,         0.4987,         1.2126,         1.7473,         0.5997,       154.4214,        76.4182,       194.1162,       359.8745,       258.5104,       478.2845,         0.6129,     80780.2734,     72901.7656
   8875,         0.5404,         0.6849,         1.2253,         1.7473,         0.5909,       155.7601,        76.3506,       193.8466,       360.0806,       258.5387,       478.3313,         0.6344,     80779.8984,     72901.9531
   8876,         0.1834,         0.8422,         1.0256,         1.7473,         0.4588,       157.0953,        76.2830,       193.5773,       360.3476,       258.5704,       478.3680,         0.5668,     80779.7109,     72901.9531
   8877,         0.2018,         0.7608,         0.9627,         1.7473,         0.4256,       158.4270,        76.2156,       193.3083,       360.6418,       258.6036,       478.4020,         0.5371,     80779.5234,     72901.9531
   8878,         1.1946,        -0.0890,         1.1056,         1.7473,         0.5345,       159.7552,        76.1482,       193.0400,       360.9100,       258.6351,       478.4420,         0.5711,     80779.2969,     72901.9922
   8879,         1.9069,        -0.5921,         1.3147,         2.0333,         0.6918,       161.2227,        76.1096,       192.8864,       361.1364,       258.6639,       478.4884,         0.6230,     80779.0078,     72902.0938
   8880,         1.7434,        -0.3323,         1.4110,         1.9381,         0.7151,       162.6389,        76.0614,       192.6949,       361.3141,       258.6895,       478.5420,         0.6959,     80778.6328,     72902.2812
   8881,         0.3784,         1.0141,         1.3925,         1.7473,         0.7028,       163.9559,        75.9942,       192.4276,       361.5043,       258.7158,       478.5922,         0.6897,     80778.2578,     72902.4688
   8882,         2.4704,        -0.8072,         1.6632,         2.3119,         0.9546,       165.5517,        75.9835,       192.3863,       361.6751,       258.7407,       478.6472,         0.7086,     80777.8828,     72902.6562
   8883,         2.5269,        -0.7731,         1.7538,         2.3781,         0.9801,       167.1763,        75.9794,       192.3714,       361.7990,       258.7625,       478.7094,         0.7736,     80777.5078,     72902.8438
   8884,         3.0172,        -1.0133,         2.0039,         2.5912,         1.1376,       168.9030,        75.9966,       192.4418,       361.8564,       258.7802,       478.7818,         0.8663,     80777.0469,     72903.0312
   8885,         3.6830,        -1.5216,         2.1615,         2.6853,         1.2212,       170.6722,        76.0233,       192.5499,       361.8750,       258.7951,       478.8590,         0.9403,     80776.5625,     72903.2188
   8886,         3.2774,        -1.0327,         2.2447,         2.6521,         1.2457,       172.4202,        76.0465,       192.6445,       361.8603,       258.8079,       478.9398,         0.9990,     80776.0391,     72903.4062
   8887,         2.8312,        -0.6254,         2.2058,         2.4849,         1.1876,       174.0800,        76.0531,       192.6723,       361.8402,       258.8201,       479.0197,         1.0181,     80775.4766,     72903.5938
   8888,         2.8449,        -0.5055,         2.3394,         2.6460,         1.2909,       175.8160,        76.0758,       192.7645,       361.8014,       258.8309,       479.1024,         1.0485,     80774.8984,     72903.7812
   8889,         3.5784,        -1.0892,         2.4893,         2.7666,         1.3770,       177.6076,        76.1107,       192.9054,       361.7173,       258.8385,       479.1927,         1.1122,     80774.2656,     72903.9688
   8890,         3.2852,        -0.8032,         2.4819,         2.6866,         1.3848,       179.3545,        76.1383,       193.0171,       361.6504,       258.8463,       479.2779,         1.0971,     80773.6562,     72904.1562
   8891,         2.9457,        -0.5822,         2.3635,         2.5490,         1.3296,       181.0282,        76.1531,       193.0771,       361.6387,       258.8567,       479.3529,         1.0338,     80773.0859,     72904.3438
